antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'codeChurnUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.8,0.5870967741935483,0.4967741935483871,0.6209677419354839,1.0576923076923077,0.02709677419354839,1.0893617021276598
frozenset({'avgCodeChurnUntil:'}),frozenset({'codeChurnUntil:'}),0.5870967741935483,0.8,0.4967741935483871,0.8461538461538463,1.0576923076923077,0.02709677419354839,1.3000000000000005
frozenset({'codeChurnUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.8,0.6838709677419355,0.535483870967742,0.6693548387096774,0.9787735849056604,-0.011612903225806437,0.9560975609756097
frozenset({'weightedAgeWithRespectTo:'}),frozenset({'codeChurnUntil:'}),0.6838709677419355,0.8,0.535483870967742,0.7830188679245284,0.9787735849056604,-0.011612903225806437,0.9217391304347826
frozenset({'maxLinesRemovedUntil:'}),frozenset({'codeChurnUntil:'}),0.5548387096774193,0.8,0.45806451612903226,0.8255813953488372,1.0319767441860466,0.0141935483870968,1.1466666666666665
frozenset({'avgLinesAddedUntil:'}),frozenset({'codeChurnUntil:'}),0.5096774193548387,0.8,0.44516129032258067,0.8734177215189874,1.0917721518987342,0.03741935483870973,1.580000000000001
frozenset({'codeChurnUntil:'}),frozenset({'linesRemovedUntil:'}),0.8,0.6387096774193548,0.5290322580645161,0.6612903225806451,1.0353535353535352,0.01806451612903226,1.0666666666666667
frozenset({'linesRemovedUntil:'}),frozenset({'codeChurnUntil:'}),0.6387096774193548,0.8,0.5290322580645161,0.8282828282828284,1.0353535353535355,0.01806451612903226,1.1647058823529417
frozenset({'numberOfVersionsUntil:'}),frozenset({'codeChurnUntil:'}),0.8193548387096774,0.8,0.6451612903225806,0.7874015748031497,0.984251968503937,-0.010322580645161339,0.9407407407407408
frozenset({'codeChurnUntil:'}),frozenset({'numberOfVersionsUntil:'}),0.8,0.8193548387096774,0.6451612903225806,0.8064516129032258,0.9842519685039369,-0.010322580645161339,0.9333333333333331
frozenset({'numberOfFixesUntil:'}),frozenset({'codeChurnUntil:'}),0.6387096774193548,0.8,0.5032258064516129,0.7878787878787878,0.9848484848484848,-0.007741935483871032,0.9428571428571425
frozenset({'codeChurnUntil:'}),frozenset({'numberOfFixesUntil:'}),0.8,0.6387096774193548,0.5032258064516129,0.629032258064516,0.9848484848484848,-0.007741935483871032,0.9739130434782607
frozenset({'maxLinesAddedUntil:'}),frozenset({'codeChurnUntil:'}),0.5548387096774193,0.8,0.43870967741935485,0.7906976744186047,0.9883720930232559,-0.005161290322580614,0.9555555555555557
frozenset({'ageWithRespectTo:'}),frozenset({'codeChurnUntil:'}),0.8064516129032258,0.8,0.6709677419354839,0.8320000000000001,1.04,0.02580645161290329,1.1904761904761907
frozenset({'codeChurnUntil:'}),frozenset({'ageWithRespectTo:'}),0.8,0.8064516129032258,0.6709677419354839,0.8387096774193549,1.04,0.02580645161290329,1.2000000000000006
frozenset({'numberOfAuthorsUntil:'}),frozenset({'codeChurnUntil:'}),0.5290322580645161,0.8,0.432258064516129,0.8170731707317073,1.021341463414634,0.009032258064516074,1.0933333333333328
frozenset({'numberOfRefactoringsUntil:'}),frozenset({'codeChurnUntil:'}),0.7354838709677419,0.8,0.6064516129032258,0.8245614035087719,1.030701754385965,0.01806451612903226,1.14
frozenset({'codeChurnUntil:'}),frozenset({'numberOfRefactoringsUntil:'}),0.8,0.7354838709677419,0.6064516129032258,0.7580645161290323,1.030701754385965,0.01806451612903226,1.0933333333333333
frozenset({'avgLinesRemovedUntil:'}),frozenset({'codeChurnUntil:'}),0.4967741935483871,0.8,0.43870967741935485,0.8831168831168832,1.103896103896104,0.041290322580645133,1.7111111111111117
frozenset({'codeChurnUntil:'}),frozenset({'maxCodeChurnUntil:'}),0.8,0.6903225806451613,0.5612903225806452,0.7016129032258064,1.0163551401869158,0.00903225806451613,1.0378378378378377
frozenset({'maxCodeChurnUntil:'}),frozenset({'codeChurnUntil:'}),0.6903225806451613,0.8,0.5612903225806452,0.8130841121495327,1.0163551401869158,0.00903225806451613,1.0699999999999996
frozenset({'codeChurnUntil:'}),frozenset({'linesAddedUntil:'}),0.8,0.6064516129032258,0.4838709677419355,0.6048387096774194,0.9973404255319149,-0.0012903225806451535,0.9959183673469388
frozenset({'linesAddedUntil:'}),frozenset({'codeChurnUntil:'}),0.6064516129032258,0.8,0.4838709677419355,0.7978723404255319,0.9973404255319148,-0.0012903225806451535,0.9894736842105261
frozenset({'avgCodeChurnUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.5870967741935483,0.6838709677419355,0.4064516129032258,0.6923076923076923,1.0123367198838897,0.004953173777315356,1.0274193548387096
frozenset({'maxLinesRemovedUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.5548387096774193,0.5870967741935483,0.3741935483870968,0.6744186046511629,1.1487349859442886,0.04844953173777322,1.268202764976959
frozenset({'avgCodeChurnUntil:'}),frozenset({'maxLinesRemovedUntil:'}),0.5870967741935483,0.5548387096774193,0.3741935483870968,0.6373626373626374,1.1487349859442884,0.04844953173777322,1.2275659824046923
frozenset({'avgLinesAddedUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.5096774193548387,0.5870967741935483,0.36129032258064514,0.7088607594936709,1.207400194741967,0.062060353798126966,1.418232819074334
frozenset({'avgCodeChurnUntil:'}),frozenset({'avgLinesAddedUntil:'}),0.5870967741935483,0.5096774193548387,0.36129032258064514,0.6153846153846154,1.207400194741967,0.062060353798126966,1.2748387096774196
frozenset({'avgCodeChurnUntil:'}),frozenset({'linesRemovedUntil:'}),0.5870967741935483,0.6387096774193548,0.4064516129032258,0.6923076923076923,1.083916083916084,0.031467221644120746,1.1741935483870969
frozenset({'linesRemovedUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.6387096774193548,0.5870967741935483,0.4064516129032258,0.6363636363636364,1.083916083916084,0.031467221644120746,1.135483870967742
frozenset({'numberOfVersionsUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.8193548387096774,0.5870967741935483,0.5225806451612903,0.6377952755905512,1.0863545902915983,0.04154006243496361,1.1399719495091165
frozenset({'avgCodeChurnUntil:'}),frozenset({'numberOfVersionsUntil:'}),0.5870967741935483,0.8193548387096774,0.5225806451612903,0.8901098901098902,1.0863545902915983,0.04154006243496361,1.6438709677419365
frozenset({'numberOfFixesUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.6387096774193548,0.5870967741935483,0.4,0.6262626262626263,1.0667110667110669,0.02501560874089498,1.1047951176983437
frozenset({'avgCodeChurnUntil:'}),frozenset({'numberOfFixesUntil:'}),0.5870967741935483,0.6387096774193548,0.4,0.6813186813186815,1.066711066711067,0.02501560874089498,1.1337041156840941
frozenset({'maxLinesAddedUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.5548387096774193,0.5870967741935483,0.33548387096774196,0.6046511627906977,1.029900332225914,0.009739854318418395,1.0444022770398484
frozenset({'ageWithRespectTo:'}),frozenset({'avgCodeChurnUntil:'}),0.8064516129032258,0.5870967741935483,0.5096774193548387,0.632,1.0764835164835167,0.03621227887617068,1.1220196353436187
frozenset({'avgCodeChurnUntil:'}),frozenset({'ageWithRespectTo:'}),0.5870967741935483,0.8064516129032258,0.5096774193548387,0.8681318681318682,1.0764835164835165,0.03621227887617068,1.4677419354838717
frozenset({'avgCodeChurnUntil:'}),frozenset({'numberOfAuthorsUntil:'}),0.5870967741935483,0.5290322580645161,0.3548387096774194,0.6043956043956045,1.14245510586974,0.04424557752341313,1.1905017921146954
frozenset({'numberOfAuthorsUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.5290322580645161,0.5870967741935483,0.3548387096774194,0.6707317073170732,1.14245510586974,0.04424557752341313,1.2540023894862609
frozenset({'numberOfRefactoringsUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.7354838709677419,0.5870967741935483,0.4645161290322581,0.6315789473684211,1.0757663389242338,0.03271592091571285,1.1207373271889405
frozenset({'avgCodeChurnUntil:'}),frozenset({'numberOfRefactoringsUntil:'}),0.5870967741935483,0.7354838709677419,0.4645161290322581,0.7912087912087913,1.0757663389242338,0.03271592091571285,1.2668930390492366
frozenset({'avgLinesRemovedUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.4967741935483871,0.5870967741935483,0.38064516129032255,0.7662337662337662,1.3051234479805909,0.08899063475546304,1.7663082437275983
frozenset({'avgCodeChurnUntil:'}),frozenset({'avgLinesRemovedUntil:'}),0.5870967741935483,0.4967741935483871,0.38064516129032255,0.6483516483516484,1.3051234479805909,0.08899063475546304,1.431048387096774
frozenset({'avgCodeChurnUntil:'}),frozenset({'maxCodeChurnUntil:'}),0.5870967741935483,0.6903225806451613,0.432258064516129,0.7362637362637363,1.066550272157749,0.026971904266389235,1.174193548387097
frozenset({'maxCodeChurnUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.6903225806451613,0.5870967741935483,0.432258064516129,0.6261682242990654,1.066550272157749,0.026971904266389235,1.104516129032258
frozenset({'avgCodeChurnUntil:'}),frozenset({'linesAddedUntil:'}),0.5870967741935483,0.6064516129032258,0.3870967741935484,0.6593406593406593,1.0872106616787467,0.03105098855359001,1.15525494276795
frozenset({'linesAddedUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.6064516129032258,0.5870967741935483,0.3870967741935484,0.6382978723404256,1.087210661678747,0.03105098855359001,1.1415559772296018
frozenset({'maxLinesRemovedUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.5548387096774193,0.6838709677419355,0.4,0.7209302325581396,1.0541904344010533,0.02056191467221652,1.1327956989247316
frozenset({'avgLinesAddedUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.5096774193548387,0.6838709677419355,0.4,0.7848101265822786,1.1475997133986149,0.05144640998959421,1.4690702087286533
frozenset({'linesRemovedUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.6387096774193548,0.6838709677419355,0.432258064516129,0.6767676767676768,0.9896131122546218,-0.004536940686784563,0.9780241935483873
frozenset({'weightedAgeWithRespectTo:'}),frozenset({'linesRemovedUntil:'}),0.6838709677419355,0.6387096774193548,0.432258064516129,0.6320754716981132,0.9896131122546217,-0.004536940686784563,0.9819685690653432
frozenset({'numberOfVersionsUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.8193548387096774,0.6838709677419355,0.5741935483870968,0.7007874015748032,1.0247362947556085,0.01386056191467222,1.0565365025466897
frozenset({'weightedAgeWithRespectTo:'}),frozenset({'numberOfVersionsUntil:'}),0.6838709677419355,0.8193548387096774,0.5741935483870968,0.839622641509434,1.0247362947556085,0.01386056191467222,1.1263757115749529
frozenset({'numberOfFixesUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.6387096774193548,0.6838709677419355,0.432258064516129,0.6767676767676768,0.9896131122546218,-0.004536940686784563,0.9780241935483873
frozenset({'weightedAgeWithRespectTo:'}),frozenset({'numberOfFixesUntil:'}),0.6838709677419355,0.6387096774193548,0.432258064516129,0.6320754716981132,0.9896131122546217,-0.004536940686784563,0.9819685690653432
frozenset({'maxLinesAddedUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.5548387096774193,0.6838709677419355,0.3935483870967742,0.7093023255813954,1.0371873628784556,0.014110301768990696,1.0874838709677421
frozenset({'ageWithRespectTo:'}),frozenset({'weightedAgeWithRespectTo:'}),0.8064516129032258,0.6838709677419355,0.5741935483870968,0.7120000000000001,1.0411320754716982,0.022684703433923037,1.0976702508960579
frozenset({'weightedAgeWithRespectTo:'}),frozenset({'ageWithRespectTo:'}),0.6838709677419355,0.8064516129032258,0.5741935483870968,0.839622641509434,1.0411320754716982,0.022684703433923037,1.2068311195445927
frozenset({'numberOfAuthorsUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.5290322580645161,0.6838709677419355,0.3419354838709677,0.646341463414634,0.9451219512195121,-0.019854318418314254,0.8938820912124581
frozenset({'numberOfRefactoringsUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.7354838709677419,0.6838709677419355,0.5290322580645161,0.7192982456140351,1.0518040383978815,0.026056191467221712,1.126209677419355
frozenset({'weightedAgeWithRespectTo:'}),frozenset({'numberOfRefactoringsUntil:'}),0.6838709677419355,0.7354838709677419,0.5290322580645161,0.7735849056603774,1.0518040383978815,0.026056191467221712,1.1682795698924735
frozenset({'avgLinesRemovedUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.4967741935483871,0.6838709677419355,0.36774193548387096,0.7402597402597403,1.0824552805684882,0.028012486992715913,1.2170967741935486
frozenset({'maxCodeChurnUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.6903225806451613,0.6838709677419355,0.4774193548387097,0.6915887850467289,1.0112854875683301,0.005327783558792931,1.0250244379276636
