support,itemsets
0.8,frozenset({'codeChurnUntil:'})
0.5870967741935483,frozenset({'avgCodeChurnUntil:'})
0.6838709677419355,frozenset({'weightedAgeWithRespectTo:'})
0.5548387096774193,frozenset({'maxLinesRemovedUntil:'})
0.5096774193548387,frozenset({'avgLinesAddedUntil:'})
0.6387096774193548,frozenset({'linesRemovedUntil:'})
0.8193548387096774,frozenset({'numberOfVersionsUntil:'})
0.6387096774193548,frozenset({'numberOfFixesUntil:'})
0.5548387096774193,frozenset({'maxLinesAddedUntil:'})
0.8064516129032258,frozenset({'ageWithRespectTo:'})
0.5290322580645161,frozenset({'numberOfAuthorsUntil:'})
0.7354838709677419,frozenset({'numberOfRefactoringsUntil:'})
0.4967741935483871,frozenset({'avgLinesRemovedUntil:'})
0.6903225806451613,frozenset({'maxCodeChurnUntil:'})
0.6064516129032258,frozenset({'linesAddedUntil:'})
0.4967741935483871,"frozenset({'codeChurnUntil:', 'avgCodeChurnUntil:'})"
0.535483870967742,"frozenset({'codeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.45806451612903226,"frozenset({'maxLinesRemovedUntil:', 'codeChurnUntil:'})"
0.44516129032258067,"frozenset({'avgLinesAddedUntil:', 'codeChurnUntil:'})"
0.5290322580645161,"frozenset({'codeChurnUntil:', 'linesRemovedUntil:'})"
0.6451612903225806,"frozenset({'numberOfVersionsUntil:', 'codeChurnUntil:'})"
0.5032258064516129,"frozenset({'numberOfFixesUntil:', 'codeChurnUntil:'})"
0.43870967741935485,"frozenset({'maxLinesAddedUntil:', 'codeChurnUntil:'})"
0.6709677419354839,"frozenset({'ageWithRespectTo:', 'codeChurnUntil:'})"
0.432258064516129,"frozenset({'codeChurnUntil:', 'numberOfAuthorsUntil:'})"
0.6064516129032258,"frozenset({'numberOfRefactoringsUntil:', 'codeChurnUntil:'})"
0.43870967741935485,"frozenset({'avgLinesRemovedUntil:', 'codeChurnUntil:'})"
0.5612903225806452,"frozenset({'codeChurnUntil:', 'maxCodeChurnUntil:'})"
0.4838709677419355,"frozenset({'codeChurnUntil:', 'linesAddedUntil:'})"
0.4064516129032258,"frozenset({'avgCodeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.3741935483870968,"frozenset({'maxLinesRemovedUntil:', 'avgCodeChurnUntil:'})"
0.36129032258064514,"frozenset({'avgLinesAddedUntil:', 'avgCodeChurnUntil:'})"
0.4064516129032258,"frozenset({'avgCodeChurnUntil:', 'linesRemovedUntil:'})"
