antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'numberOfVersionsUntil:'}),frozenset({'codeChurnUntil:'}),0.7096774193548387,0.7419354838709677,0.4967741935483871,0.7,0.9434782608695651,-0.029760665972944855,0.8602150537634408
frozenset({'codeChurnUntil:'}),frozenset({'numberOfVersionsUntil:'}),0.7419354838709677,0.7096774193548387,0.4967741935483871,0.6695652173913044,0.9434782608695652,-0.029760665972944855,0.8786078098471986
frozenset({'numberOfFixesUntil:'}),frozenset({'codeChurnUntil:'}),0.3741935483870968,0.7419354838709677,0.3096774193548387,0.8275862068965517,1.1154422788605698,0.03204994797086369,1.496774193548387
frozenset({'ageWithRespectTo:'}),frozenset({'codeChurnUntil:'}),0.5935483870967742,0.7419354838709677,0.47096774193548385,0.7934782608695652,1.0694706994328922,0.030593132154006275,1.2495755517826823
frozenset({'codeChurnUntil:'}),frozenset({'ageWithRespectTo:'}),0.7419354838709677,0.5935483870967742,0.47096774193548385,0.6347826086956522,1.0694706994328924,0.030593132154006275,1.1129032258064517
frozenset({'numberOfAuthorsUntil:'}),frozenset({'codeChurnUntil:'}),0.3935483870967742,0.7419354838709677,0.3225806451612903,0.8196721311475409,1.1047754811119028,0.03059313215400622,1.431085043988269
frozenset({'numberOfRefactoringsUntil:'}),frozenset({'codeChurnUntil:'}),0.3935483870967742,0.7419354838709677,0.3225806451612903,0.8196721311475409,1.1047754811119028,0.03059313215400622,1.431085043988269
frozenset({'maxCodeChurnUntil:'}),frozenset({'codeChurnUntil:'}),0.4774193548387097,0.7419354838709677,0.34838709677419355,0.7297297297297297,0.9835487661574618,-0.005827263267429772,0.9548387096774192
frozenset({'numberOfVersionsUntil:'}),frozenset({'ageWithRespectTo:'}),0.7096774193548387,0.5935483870967742,0.44516129032258067,0.6272727272727273,1.0568181818181819,0.02393340270551514,1.0904799370574354
frozenset({'ageWithRespectTo:'}),frozenset({'numberOfVersionsUntil:'}),0.5935483870967742,0.7096774193548387,0.44516129032258067,0.7500000000000001,1.0568181818181819,0.02393340270551514,1.1612903225806455
frozenset({'maxCodeChurnUntil:'}),frozenset({'numberOfVersionsUntil:'}),0.4774193548387097,0.7096774193548387,0.33548387096774196,0.7027027027027027,0.9901719901719902,-0.003329864724245568,0.9765395894428153
frozenset({'maxCodeChurnUntil:'}),frozenset({'ageWithRespectTo:'}),0.4774193548387097,0.5935483870967742,0.3419354838709677,0.7162162162162162,1.206668625146886,0.05856399583766908,1.4322580645161291
"frozenset({'numberOfVersionsUntil:', 'ageWithRespectTo:'})",frozenset({'codeChurnUntil:'}),0.44516129032258067,0.7419354838709677,0.32903225806451614,0.7391304347826086,0.996219281663516,-0.001248699271592102,0.9892473118279568
"frozenset({'numberOfVersionsUntil:', 'codeChurnUntil:'})",frozenset({'ageWithRespectTo:'}),0.4967741935483871,0.5935483870967742,0.32903225806451614,0.6623376623376623,1.1158949745906268,0.034172736732570264,1.2037220843672458
"frozenset({'ageWithRespectTo:', 'codeChurnUntil:'})",frozenset({'numberOfVersionsUntil:'}),0.47096774193548385,0.7096774193548387,0.32903225806451614,0.6986301369863014,0.9844333748443337,-0.005202913631633721,0.9633431085043987
