support,itemsets
0.7419354838709677,frozenset({'codeChurnUntil:'})
0.41935483870967744,frozenset({'avgCodeChurnUntil:'})
0.3548387096774194,frozenset({'weightedAgeWithRespectTo:'})
0.36129032258064514,frozenset({'maxLinesRemovedUntil:'})
0.3096774193548387,frozenset({'avgLinesAddedUntil:'})
0.38064516129032255,frozenset({'linesRemovedUntil:'})
0.7096774193548387,frozenset({'numberOfVersionsUntil:'})
0.3741935483870968,frozenset({'numberOfFixesUntil:'})
0.33548387096774196,frozenset({'maxLinesAddedUntil:'})
0.5935483870967742,frozenset({'ageWithRespectTo:'})
0.3935483870967742,frozenset({'numberOfAuthorsUntil:'})
0.3935483870967742,frozenset({'numberOfRefactoringsUntil:'})
0.4774193548387097,frozenset({'maxCodeChurnUntil:'})
0.4,frozenset({'linesAddedUntil:'})
0.4967741935483871,"frozenset({'numberOfVersionsUntil:', 'codeChurnUntil:'})"
0.3096774193548387,"frozenset({'numberOfFixesUntil:', 'codeChurnUntil:'})"
0.47096774193548385,"frozenset({'ageWithRespectTo:', 'codeChurnUntil:'})"
0.3225806451612903,"frozenset({'codeChurnUntil:', 'numberOfAuthorsUntil:'})"
0.3225806451612903,"frozenset({'numberOfRefactoringsUntil:', 'codeChurnUntil:'})"
0.34838709677419355,"frozenset({'codeChurnUntil:', 'maxCodeChurnUntil:'})"
0.44516129032258067,"frozenset({'numberOfVersionsUntil:', 'ageWithRespectTo:'})"
0.33548387096774196,"frozenset({'numberOfVersionsUntil:', 'maxCodeChurnUntil:'})"
0.3419354838709677,"frozenset({'ageWithRespectTo:', 'maxCodeChurnUntil:'})"
0.32903225806451614,"frozenset({'numberOfVersionsUntil:', 'ageWithRespectTo:', 'codeChurnUntil:'})"
