support,itemsets
0.8387096774193549,frozenset({'codeChurnUntil:'})
0.4838709677419355,frozenset({'avgCodeChurnUntil:'})
0.5612903225806452,frozenset({'weightedAgeWithRespectTo:'})
0.4129032258064516,frozenset({'maxLinesRemovedUntil:'})
0.36129032258064514,frozenset({'avgLinesAddedUntil:'})
0.5419354838709678,frozenset({'linesRemovedUntil:'})
0.7225806451612903,frozenset({'numberOfVersionsUntil:'})
0.47096774193548385,frozenset({'numberOfFixesUntil:'})
0.44516129032258067,frozenset({'maxLinesAddedUntil:'})
0.7419354838709677,frozenset({'ageWithRespectTo:'})
0.5741935483870968,frozenset({'numberOfAuthorsUntil:'})
0.45806451612903226,frozenset({'numberOfRefactoringsUntil:'})
0.3419354838709677,frozenset({'avgLinesRemovedUntil:'})
0.6129032258064516,frozenset({'maxCodeChurnUntil:'})
0.535483870967742,frozenset({'linesAddedUntil:'})
0.4,"frozenset({'codeChurnUntil:', 'avgCodeChurnUntil:'})"
0.47096774193548385,"frozenset({'codeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.3870967741935484,"frozenset({'maxLinesRemovedUntil:', 'codeChurnUntil:'})"
0.3225806451612903,"frozenset({'avgLinesAddedUntil:', 'codeChurnUntil:'})"
0.45161290322580644,"frozenset({'codeChurnUntil:', 'linesRemovedUntil:'})"
0.5806451612903226,"frozenset({'numberOfVersionsUntil:', 'codeChurnUntil:'})"
0.432258064516129,"frozenset({'numberOfFixesUntil:', 'codeChurnUntil:'})"
0.4129032258064516,"frozenset({'maxLinesAddedUntil:', 'codeChurnUntil:'})"
0.632258064516129,"frozenset({'ageWithRespectTo:', 'codeChurnUntil:'})"
0.5161290322580645,"frozenset({'codeChurnUntil:', 'numberOfAuthorsUntil:'})"
0.4,"frozenset({'numberOfRefactoringsUntil:', 'codeChurnUntil:'})"
0.5096774193548387,"frozenset({'codeChurnUntil:', 'maxCodeChurnUntil:'})"
0.45161290322580644,"frozenset({'codeChurnUntil:', 'linesAddedUntil:'})"
0.3225806451612903,"frozenset({'avgCodeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.33548387096774196,"frozenset({'avgCodeChurnUntil:', 'linesRemovedUntil:'})"
0.4,"frozenset({'numberOfVersionsUntil:', 'avgCodeChurnUntil:'})"
0.3225806451612903,"frozenset({'ageWithRespectTo:', 'avgCodeChurnUntil:'})"
0.3096774193548387,"frozenset({'avgCodeChurnUntil:', 'numberOfAuthorsUntil:'})"
0.3870967741935484,"frozenset({'avgCodeChurnUntil:', 'maxCodeChurnUntil:'})"
0.3096774193548387,"frozenset({'avgCodeChurnUntil:', 'linesAddedUntil:'})"
0.33548387096774196,"frozenset({'linesRemovedUntil:', 'weightedAgeWithRespectTo:'})"
0.4258064516129032,"frozenset({'numberOfVersionsUntil:', 'weightedAgeWithRespectTo:'})"
0.44516129032258067,"frozenset({'ageWithRespectTo:', 'weightedAgeWithRespectTo:'})"
0.34838709677419355,"frozenset({'numberOfAuthorsUntil:', 'weightedAgeWithRespectTo:'})"
0.3741935483870968,"frozenset({'maxCodeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.3225806451612903,"frozenset({'linesAddedUntil:', 'weightedAgeWithRespectTo:'})"
0.33548387096774196,"frozenset({'numberOfVersionsUntil:', 'maxLinesRemovedUntil:'})"
0.3032258064516129,"frozenset({'numberOfFixesUntil:', 'maxLinesRemovedUntil:'})"
0.3161290322580645,"frozenset({'ageWithRespectTo:', 'maxLinesRemovedUntil:'})"
0.3032258064516129,"frozenset({'maxLinesRemovedUntil:', 'numberOfAuthorsUntil:'})"
0.32903225806451614,"frozenset({'maxLinesRemovedUntil:', 'maxCodeChurnUntil:'})"
0.3096774193548387,"frozenset({'maxLinesRemovedUntil:', 'linesAddedUntil:'})"
0.3161290322580645,"frozenset({'numberOfVersionsUntil:', 'avgLinesAddedUntil:'})"
0.4,"frozenset({'numberOfVersionsUntil:', 'linesRemovedUntil:'})"
0.32903225806451614,"frozenset({'maxLinesAddedUntil:', 'linesRemovedUntil:'})"
0.41935483870967744,"frozenset({'ageWithRespectTo:', 'linesRemovedUntil:'})"
0.36774193548387096,"frozenset({'linesRemovedUntil:', 'numberOfAuthorsUntil:'})"
0.3225806451612903,"frozenset({'numberOfRefactoringsUntil:', 'linesRemovedUntil:'})"
0.3741935483870968,"frozenset({'maxCodeChurnUntil:', 'linesRemovedUntil:'})"
0.38064516129032255,"frozenset({'linesAddedUntil:', 'linesRemovedUntil:'})"
0.4,"frozenset({'numberOfVersionsUntil:', 'numberOfFixesUntil:'})"
0.34838709677419355,"frozenset({'numberOfVersionsUntil:', 'maxLinesAddedUntil:'})"
0.535483870967742,"frozenset({'numberOfVersionsUntil:', 'ageWithRespectTo:'})"
0.41935483870967744,"frozenset({'numberOfVersionsUntil:', 'numberOfAuthorsUntil:'})"
0.3935483870967742,"frozenset({'numberOfVersionsUntil:', 'numberOfRefactoringsUntil:'})"
0.3032258064516129,"frozenset({'numberOfVersionsUntil:', 'avgLinesRemovedUntil:'})"
0.4838709677419355,"frozenset({'numberOfVersionsUntil:', 'maxCodeChurnUntil:'})"
0.41935483870967744,"frozenset({'numberOfVersionsUntil:', 'linesAddedUntil:'})"
0.3870967741935484,"frozenset({'numberOfFixesUntil:', 'ageWithRespectTo:'})"
0.3032258064516129,"frozenset({'numberOfFixesUntil:', 'numberOfAuthorsUntil:'})"
0.3161290322580645,"frozenset({'numberOfFixesUntil:', 'numberOfRefactoringsUntil:'})"
0.33548387096774196,"frozenset({'numberOfFixesUntil:', 'maxCodeChurnUntil:'})"
0.3032258064516129,"frozenset({'numberOfFixesUntil:', 'linesAddedUntil:'})"
0.36129032258064514,"frozenset({'maxLinesAddedUntil:', 'ageWithRespectTo:'})"
0.34838709677419355,"frozenset({'maxLinesAddedUntil:', 'numberOfAuthorsUntil:'})"
0.3161290322580645,"frozenset({'maxLinesAddedUntil:', 'numberOfRefactoringsUntil:'})"
0.33548387096774196,"frozenset({'maxLinesAddedUntil:', 'maxCodeChurnUntil:'})"
0.3225806451612903,"frozenset({'maxLinesAddedUntil:', 'linesAddedUntil:'})"
0.47096774193548385,"frozenset({'ageWithRespectTo:', 'numberOfAuthorsUntil:'})"
0.3419354838709677,"frozenset({'ageWithRespectTo:', 'numberOfRefactoringsUntil:'})"
0.47096774193548385,"frozenset({'ageWithRespectTo:', 'maxCodeChurnUntil:'})"
0.41935483870967744,"frozenset({'ageWithRespectTo:', 'linesAddedUntil:'})"
0.3032258064516129,"frozenset({'numberOfRefactoringsUntil:', 'numberOfAuthorsUntil:'})"
0.38064516129032255,"frozenset({'maxCodeChurnUntil:', 'numberOfAuthorsUntil:'})"
0.34838709677419355,"frozenset({'linesAddedUntil:', 'numberOfAuthorsUntil:'})"
0.3161290322580645,"frozenset({'numberOfRefactoringsUntil:', 'maxCodeChurnUntil:'})"
0.3161290322580645,"frozenset({'numberOfRefactoringsUntil:', 'linesAddedUntil:'})"
0.4129032258064516,"frozenset({'maxCodeChurnUntil:', 'linesAddedUntil:'})"
0.3161290322580645,"frozenset({'numberOfVersionsUntil:', 'codeChurnUntil:', 'avgCodeChurnUntil:'})"
0.3096774193548387,"frozenset({'codeChurnUntil:', 'maxCodeChurnUntil:', 'avgCodeChurnUntil:'})"
0.33548387096774196,"frozenset({'numberOfVersionsUntil:', 'codeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.3741935483870968,"frozenset({'ageWithRespectTo:', 'codeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.3096774193548387,"frozenset({'codeChurnUntil:', 'numberOfAuthorsUntil:', 'weightedAgeWithRespectTo:'})"
0.3225806451612903,"frozenset({'codeChurnUntil:', 'maxCodeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.3096774193548387,"frozenset({'numberOfVersionsUntil:', 'maxLinesRemovedUntil:', 'codeChurnUntil:'})"
0.3032258064516129,"frozenset({'maxLinesRemovedUntil:', 'codeChurnUntil:', 'maxCodeChurnUntil:'})"
0.3161290322580645,"frozenset({'numberOfVersionsUntil:', 'codeChurnUntil:', 'linesRemovedUntil:'})"
0.3032258064516129,"frozenset({'maxLinesAddedUntil:', 'codeChurnUntil:', 'linesRemovedUntil:'})"
0.36774193548387096,"frozenset({'ageWithRespectTo:', 'codeChurnUntil:', 'linesRemovedUntil:'})"
0.33548387096774196,"frozenset({'linesRemovedUntil:', 'codeChurnUntil:', 'numberOfAuthorsUntil:'})"
0.3032258064516129,"frozenset({'codeChurnUntil:', 'maxCodeChurnUntil:', 'linesRemovedUntil:'})"
0.3161290322580645,"frozenset({'linesAddedUntil:', 'codeChurnUntil:', 'linesRemovedUntil:'})"
0.36129032258064514,"frozenset({'numberOfVersionsUntil:', 'numberOfFixesUntil:', 'codeChurnUntil:'})"
0.3161290322580645,"frozenset({'numberOfVersionsUntil:', 'maxLinesAddedUntil:', 'codeChurnUntil:'})"
0.44516129032258067,"frozenset({'numberOfVersionsUntil:', 'ageWithRespectTo:', 'codeChurnUntil:'})"
0.3741935483870968,"frozenset({'numberOfVersionsUntil:', 'codeChurnUntil:', 'numberOfAuthorsUntil:'})"
