antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'codeChurnUntil:'}),frozenset({'avgCodeChurnUntil:'}),0.6580645161290323,0.5225806451612903,0.4064516129032258,0.6176470588235293,1.1819172113289758,0.06255983350676375,1.2486352357320096
frozenset({'avgCodeChurnUntil:'}),frozenset({'codeChurnUntil:'}),0.5225806451612903,0.6580645161290323,0.4064516129032258,0.7777777777777778,1.181917211328976,0.06255983350676375,1.538709677419355
frozenset({'codeChurnUntil:'}),frozenset({'weightedAgeWithRespectTo:'}),0.6580645161290323,0.5548387096774193,0.4129032258064516,0.6274509803921569,1.1308709530323757,0.047783558792924063,1.1949066213921902
frozenset({'weightedAgeWithRespectTo:'}),frozenset({'codeChurnUntil:'}),0.5548387096774193,0.6580645161290323,0.4129032258064516,0.7441860465116279,1.1308709530323757,0.047783558792924063,1.336656891495601
frozenset({'maxLinesRemovedUntil:'}),frozenset({'codeChurnUntil:'}),0.6580645161290323,0.6580645161290323,0.4838709677419355,0.7352941176470589,1.117358708189158,0.050822060353798104,1.291756272401434
frozenset({'codeChurnUntil:'}),frozenset({'maxLinesRemovedUntil:'}),0.6580645161290323,0.6580645161290323,0.4838709677419355,0.7352941176470589,1.117358708189158,0.050822060353798104,1.291756272401434
frozenset({'avgLinesAddedUntil:'}),frozenset({'codeChurnUntil:'}),0.5096774193548387,0.6580645161290323,0.4,0.7848101265822786,1.1926036237279722,0.06459937565036422,1.58899430740038
frozenset({'codeChurnUntil:'}),frozenset({'avgLinesAddedUntil:'}),0.6580645161290323,0.5096774193548387,0.4,0.607843137254902,1.1926036237279725,0.06459937565036422,1.2503225806451617
frozenset({'codeChurnUntil:'}),frozenset({'linesRemovedUntil:'}),0.6580645161290323,0.6451612903225806,0.47096774193548385,0.7156862745098038,1.109313725490196,0.046409989594172696,1.2480533926585091
frozenset({'linesRemovedUntil:'}),frozenset({'codeChurnUntil:'}),0.6451612903225806,0.6580645161290323,0.47096774193548385,0.73,1.1093137254901961,0.046409989594172696,1.2664277180406212
frozenset({'numberOfVersionsUntil:'}),frozenset({'codeChurnUntil:'}),0.7612903225806451,0.6580645161290323,0.5225806451612903,0.6864406779661018,1.0431206380857427,0.021602497398543252,1.0904969485614648
frozenset({'codeChurnUntil:'}),frozenset({'numberOfVersionsUntil:'}),0.6580645161290323,0.7612903225806451,0.5225806451612903,0.7941176470588235,1.0431206380857427,0.021602497398543252,1.159447004608295
frozenset({'numberOfFixesUntil:'}),frozenset({'codeChurnUntil:'}),0.5419354838709678,0.6580645161290323,0.4,0.738095238095238,1.1216153127917832,0.0433714880332986,1.305571847507331
frozenset({'codeChurnUntil:'}),frozenset({'numberOfFixesUntil:'}),0.6580645161290323,0.5419354838709678,0.4,0.607843137254902,1.1216153127917834,0.0433714880332986,1.1680645161290324
frozenset({'maxLinesAddedUntil:'}),frozenset({'codeChurnUntil:'}),0.5548387096774193,0.6580645161290323,0.45161290322580644,0.813953488372093,1.236890104879161,0.08649323621227889,1.8379032258064516
frozenset({'codeChurnUntil:'}),frozenset({'maxLinesAddedUntil:'}),0.6580645161290323,0.5548387096774193,0.45161290322580644,0.6862745098039216,1.236890104879161,0.08649323621227889,1.4189516129032258
frozenset({'ageWithRespectTo:'}),frozenset({'codeChurnUntil:'}),0.6258064516129033,0.6580645161290323,0.4645161290322581,0.7422680412371134,1.1279563371740449,0.05269510926118626,1.326709677419355
