support,itemsets
0.6580645161290323,frozenset({'codeChurnUntil:'})
0.5225806451612903,frozenset({'avgCodeChurnUntil:'})
0.5548387096774193,frozenset({'weightedAgeWithRespectTo:'})
0.6580645161290323,frozenset({'maxLinesRemovedUntil:'})
0.5096774193548387,frozenset({'avgLinesAddedUntil:'})
0.6451612903225806,frozenset({'linesRemovedUntil:'})
0.7612903225806451,frozenset({'numberOfVersionsUntil:'})
0.5419354838709678,frozenset({'numberOfFixesUntil:'})
0.5548387096774193,frozenset({'maxLinesAddedUntil:'})
0.6258064516129033,frozenset({'ageWithRespectTo:'})
0.5806451612903226,frozenset({'numberOfAuthorsUntil:'})
0.6387096774193548,frozenset({'numberOfRefactoringsUntil:'})
0.47096774193548385,frozenset({'avgLinesRemovedUntil:'})
0.632258064516129,frozenset({'maxCodeChurnUntil:'})
0.6967741935483871,frozenset({'linesAddedUntil:'})
0.4064516129032258,"frozenset({'codeChurnUntil:', 'avgCodeChurnUntil:'})"
0.4129032258064516,"frozenset({'codeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.4838709677419355,"frozenset({'maxLinesRemovedUntil:', 'codeChurnUntil:'})"
0.4,"frozenset({'avgLinesAddedUntil:', 'codeChurnUntil:'})"
0.47096774193548385,"frozenset({'codeChurnUntil:', 'linesRemovedUntil:'})"
0.5225806451612903,"frozenset({'numberOfVersionsUntil:', 'codeChurnUntil:'})"
0.4,"frozenset({'numberOfFixesUntil:', 'codeChurnUntil:'})"
0.45161290322580644,"frozenset({'maxLinesAddedUntil:', 'codeChurnUntil:'})"
0.4645161290322581,"frozenset({'ageWithRespectTo:', 'codeChurnUntil:'})"
0.4258064516129032,"frozenset({'codeChurnUntil:', 'numberOfAuthorsUntil:'})"
0.4838709677419355,"frozenset({'numberOfRefactoringsUntil:', 'codeChurnUntil:'})"
0.36774193548387096,"frozenset({'avgLinesRemovedUntil:', 'codeChurnUntil:'})"
0.4774193548387097,"frozenset({'codeChurnUntil:', 'maxCodeChurnUntil:'})"
0.5225806451612903,"frozenset({'codeChurnUntil:', 'linesAddedUntil:'})"
0.34838709677419355,"frozenset({'avgCodeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.4129032258064516,"frozenset({'maxLinesRemovedUntil:', 'avgCodeChurnUntil:'})"
0.3225806451612903,"frozenset({'avgLinesAddedUntil:', 'avgCodeChurnUntil:'})"
0.4129032258064516,"frozenset({'avgCodeChurnUntil:', 'linesRemovedUntil:'})"
0.44516129032258067,"frozenset({'numberOfVersionsUntil:', 'avgCodeChurnUntil:'})"
0.36774193548387096,"frozenset({'numberOfFixesUntil:', 'avgCodeChurnUntil:'})"
0.4,"frozenset({'maxLinesAddedUntil:', 'avgCodeChurnUntil:'})"
0.41935483870967744,"frozenset({'ageWithRespectTo:', 'avgCodeChurnUntil:'})"
0.34838709677419355,"frozenset({'avgCodeChurnUntil:', 'numberOfAuthorsUntil:'})"
0.4258064516129032,"frozenset({'numberOfRefactoringsUntil:', 'avgCodeChurnUntil:'})"
0.3161290322580645,"frozenset({'avgLinesRemovedUntil:', 'avgCodeChurnUntil:'})"
0.43870967741935485,"frozenset({'avgCodeChurnUntil:', 'maxCodeChurnUntil:'})"
0.45161290322580644,"frozenset({'avgCodeChurnUntil:', 'linesAddedUntil:'})"
0.432258064516129,"frozenset({'maxLinesRemovedUntil:', 'weightedAgeWithRespectTo:'})"
0.34838709677419355,"frozenset({'avgLinesAddedUntil:', 'weightedAgeWithRespectTo:'})"
0.4064516129032258,"frozenset({'linesRemovedUntil:', 'weightedAgeWithRespectTo:'})"
0.44516129032258067,"frozenset({'numberOfVersionsUntil:', 'weightedAgeWithRespectTo:'})"
0.36129032258064514,"frozenset({'numberOfFixesUntil:', 'weightedAgeWithRespectTo:'})"
0.3741935483870968,"frozenset({'maxLinesAddedUntil:', 'weightedAgeWithRespectTo:'})"
