support,itemsets
0.6709677419354839,frozenset({'codeChurnUntil:'})
0.5419354838709678,frozenset({'avgCodeChurnUntil:'})
0.5096774193548387,frozenset({'weightedAgeWithRespectTo:'})
0.5870967741935483,frozenset({'maxLinesRemovedUntil:'})
0.4967741935483871,frozenset({'avgLinesAddedUntil:'})
0.6645161290322581,frozenset({'linesRemovedUntil:'})
0.7290322580645161,frozenset({'numberOfVersionsUntil:'})
0.6258064516129033,frozenset({'numberOfFixesUntil:'})
0.5806451612903226,frozenset({'maxLinesAddedUntil:'})
0.5483870967741935,frozenset({'ageWithRespectTo:'})
0.45161290322580644,frozenset({'numberOfAuthorsUntil:'})
0.6258064516129033,frozenset({'numberOfRefactoringsUntil:'})
0.5032258064516129,frozenset({'avgLinesRemovedUntil:'})
0.5483870967741935,frozenset({'maxCodeChurnUntil:'})
0.6774193548387096,frozenset({'linesAddedUntil:'})
0.43870967741935485,"frozenset({'codeChurnUntil:', 'avgCodeChurnUntil:'})"
0.4,"frozenset({'codeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.4129032258064516,"frozenset({'maxLinesRemovedUntil:', 'codeChurnUntil:'})"
0.4,"frozenset({'avgLinesAddedUntil:', 'codeChurnUntil:'})"
0.4967741935483871,"frozenset({'codeChurnUntil:', 'linesRemovedUntil:'})"
0.4967741935483871,"frozenset({'numberOfVersionsUntil:', 'codeChurnUntil:'})"
0.4258064516129032,"frozenset({'numberOfFixesUntil:', 'codeChurnUntil:'})"
0.4064516129032258,"frozenset({'maxLinesAddedUntil:', 'codeChurnUntil:'})"
0.3548387096774194,"frozenset({'ageWithRespectTo:', 'codeChurnUntil:'})"
0.34838709677419355,"frozenset({'codeChurnUntil:', 'numberOfAuthorsUntil:'})"
0.4645161290322581,"frozenset({'numberOfRefactoringsUntil:', 'codeChurnUntil:'})"
0.38064516129032255,"frozenset({'avgLinesRemovedUntil:', 'codeChurnUntil:'})"
0.41935483870967744,"frozenset({'codeChurnUntil:', 'maxCodeChurnUntil:'})"
0.41935483870967744,"frozenset({'codeChurnUntil:', 'linesAddedUntil:'})"
0.34838709677419355,"frozenset({'avgCodeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.3548387096774194,"frozenset({'maxLinesRemovedUntil:', 'avgCodeChurnUntil:'})"
0.3741935483870968,"frozenset({'avgLinesAddedUntil:', 'avgCodeChurnUntil:'})"
0.4258064516129032,"frozenset({'avgCodeChurnUntil:', 'linesRemovedUntil:'})"
0.45161290322580644,"frozenset({'numberOfVersionsUntil:', 'avgCodeChurnUntil:'})"
0.44516129032258067,"frozenset({'numberOfFixesUntil:', 'avgCodeChurnUntil:'})"
0.38064516129032255,"frozenset({'maxLinesAddedUntil:', 'avgCodeChurnUntil:'})"
0.3225806451612903,"frozenset({'ageWithRespectTo:', 'avgCodeChurnUntil:'})"
0.3161290322580645,"frozenset({'avgCodeChurnUntil:', 'numberOfAuthorsUntil:'})"
0.4,"frozenset({'numberOfRefactoringsUntil:', 'avgCodeChurnUntil:'})"
0.32903225806451614,"frozenset({'avgLinesRemovedUntil:', 'avgCodeChurnUntil:'})"
0.38064516129032255,"frozenset({'avgCodeChurnUntil:', 'maxCodeChurnUntil:'})"
0.3870967741935484,"frozenset({'avgCodeChurnUntil:', 'linesAddedUntil:'})"
0.3741935483870968,"frozenset({'maxLinesRemovedUntil:', 'weightedAgeWithRespectTo:'})"
0.33548387096774196,"frozenset({'avgLinesAddedUntil:', 'weightedAgeWithRespectTo:'})"
0.4129032258064516,"frozenset({'linesRemovedUntil:', 'weightedAgeWithRespectTo:'})"
0.4258064516129032,"frozenset({'numberOfVersionsUntil:', 'weightedAgeWithRespectTo:'})"
0.38064516129032255,"frozenset({'numberOfFixesUntil:', 'weightedAgeWithRespectTo:'})"
0.36774193548387096,"frozenset({'maxLinesAddedUntil:', 'weightedAgeWithRespectTo:'})"
0.3419354838709677,"frozenset({'ageWithRespectTo:', 'weightedAgeWithRespectTo:'})"
0.3225806451612903,"frozenset({'numberOfAuthorsUntil:', 'weightedAgeWithRespectTo:'})"
0.36129032258064514,"frozenset({'numberOfRefactoringsUntil:', 'weightedAgeWithRespectTo:'})"
0.33548387096774196,"frozenset({'avgLinesRemovedUntil:', 'weightedAgeWithRespectTo:'})"
0.3548387096774194,"frozenset({'maxCodeChurnUntil:', 'weightedAgeWithRespectTo:'})"
0.3870967741935484,"frozenset({'linesAddedUntil:', 'weightedAgeWithRespectTo:'})"
0.3741935483870968,"frozenset({'maxLinesRemovedUntil:', 'avgLinesAddedUntil:'})"
0.44516129032258067,"frozenset({'maxLinesRemovedUntil:', 'linesRemovedUntil:'})"
0.47096774193548385,"frozenset({'numberOfVersionsUntil:', 'maxLinesRemovedUntil:'})"
0.4,"frozenset({'numberOfFixesUntil:', 'maxLinesRemovedUntil:'})"
0.38064516129032255,"frozenset({'maxLinesAddedUntil:', 'maxLinesRemovedUntil:'})"
0.3870967741935484,"frozenset({'ageWithRespectTo:', 'maxLinesRemovedUntil:'})"
0.33548387096774196,"frozenset({'maxLinesRemovedUntil:', 'numberOfAuthorsUntil:'})"
0.4129032258064516,"frozenset({'maxLinesRemovedUntil:', 'numberOfRefactoringsUntil:'})"
0.34838709677419355,"frozenset({'maxLinesRemovedUntil:', 'avgLinesRemovedUntil:'})"
0.3870967741935484,"frozenset({'maxLinesRemovedUntil:', 'maxCodeChurnUntil:'})"
0.4064516129032258,"frozenset({'maxLinesRemovedUntil:', 'linesAddedUntil:'})"
0.36774193548387096,"frozenset({'avgLinesAddedUntil:', 'linesRemovedUntil:'})"
0.4258064516129032,"frozenset({'numberOfVersionsUntil:', 'avgLinesAddedUntil:'})"
0.36129032258064514,"frozenset({'numberOfFixesUntil:', 'avgLinesAddedUntil:'})"
0.32903225806451614,"frozenset({'maxLinesAddedUntil:', 'avgLinesAddedUntil:'})"
0.32903225806451614,"frozenset({'ageWithRespectTo:', 'avgLinesAddedUntil:'})"
