support,itemsets
0.45806451612903226,frozenset({'codeChurnUntil:'})
0.3161290322580645,frozenset({'avgCodeChurnUntil:'})
0.4129032258064516,frozenset({'weightedAgeWithRespectTo:'})
0.44516129032258067,frozenset({'maxLinesRemovedUntil:'})
0.45806451612903226,frozenset({'linesRemovedUntil:'})
0.7419354838709677,frozenset({'numberOfVersionsUntil:'})
0.3225806451612903,frozenset({'numberOfFixesUntil:'})
0.4064516129032258,frozenset({'maxLinesAddedUntil:'})
0.36774193548387096,frozenset({'ageWithRespectTo:'})
0.36774193548387096,frozenset({'numberOfAuthorsUntil:'})
0.43870967741935485,frozenset({'numberOfRefactoringsUntil:'})
0.3548387096774194,frozenset({'avgLinesRemovedUntil:'})
0.34838709677419355,frozenset({'maxCodeChurnUntil:'})
0.5096774193548387,frozenset({'linesAddedUntil:'})
0.3548387096774194,"frozenset({'numberOfVersionsUntil:', 'codeChurnUntil:'})"
0.3225806451612903,"frozenset({'numberOfVersionsUntil:', 'weightedAgeWithRespectTo:'})"
0.36129032258064514,"frozenset({'numberOfVersionsUntil:', 'maxLinesRemovedUntil:'})"
0.36129032258064514,"frozenset({'numberOfVersionsUntil:', 'linesRemovedUntil:'})"
0.3161290322580645,"frozenset({'numberOfVersionsUntil:', 'maxLinesAddedUntil:'})"
0.3096774193548387,"frozenset({'numberOfVersionsUntil:', 'ageWithRespectTo:'})"
0.3161290322580645,"frozenset({'numberOfVersionsUntil:', 'numberOfRefactoringsUntil:'})"
0.36774193548387096,"frozenset({'numberOfVersionsUntil:', 'linesAddedUntil:'})"
