support,itemsets
0.4645161290322581,frozenset({'avg_cc'})
0.3870967741935484,frozenset({'moa'})
0.47096774193548385,frozenset({'noc'})
0.5741935483870968,frozenset({'mfa'})
0.5548387096774193,frozenset({'rfc'})
0.8,frozenset({'cbo'})
0.47096774193548385,frozenset({'max_cc'})
0.6129032258064516,frozenset({'ic'})
0.6580645161290323,frozenset({'dam'})
0.5290322580645161,frozenset({'cam'})
0.8,frozenset({'lcom3'})
0.6,frozenset({'npm'})
0.535483870967742,frozenset({'ca'})
0.6193548387096774,frozenset({'dit'})
0.47096774193548385,frozenset({'cbm'})
0.4967741935483871,frozenset({'amc'})
0.4838709677419355,frozenset({'loc'})
0.41935483870967744,frozenset({'lcom'})
0.7483870967741936,frozenset({'ce'})
0.3741935483870968,"frozenset({'avg_cc', 'cbo'})"
0.3096774193548387,"frozenset({'avg_cc', 'ic'})"
0.3548387096774194,"frozenset({'avg_cc', 'dam'})"
0.3870967741935484,"frozenset({'avg_cc', 'lcom3'})"
0.34838709677419355,"frozenset({'avg_cc', 'npm'})"
0.3419354838709677,"frozenset({'avg_cc', 'dit'})"
0.3870967741935484,"frozenset({'avg_cc', 'ce'})"
0.3225806451612903,"frozenset({'moa', 'cbo'})"
0.3161290322580645,"frozenset({'moa', 'npm'})"
0.3161290322580645,"frozenset({'moa', 'dit'})"
0.32903225806451614,"frozenset({'moa', 'ce'})"
0.3032258064516129,"frozenset({'rfc', 'noc'})"
0.36774193548387096,"frozenset({'noc', 'cbo'})"
0.3032258064516129,"frozenset({'noc', 'max_cc'})"
0.3225806451612903,"frozenset({'ic', 'noc'})"
0.36774193548387096,"frozenset({'dam', 'noc'})"
0.36774193548387096,"frozenset({'lcom3', 'noc'})"
0.33548387096774196,"frozenset({'npm', 'noc'})"
0.34838709677419355,"frozenset({'noc', 'dit'})"
0.3096774193548387,"frozenset({'noc', 'amc'})"
0.3870967741935484,"frozenset({'noc', 'ce'})"
0.3548387096774194,"frozenset({'rfc', 'mfa'})"
0.4645161290322581,"frozenset({'cbo', 'mfa'})"
0.4,"frozenset({'ic', 'mfa'})"
0.4064516129032258,"frozenset({'dam', 'mfa'})"
0.33548387096774196,"frozenset({'cam', 'mfa'})"
0.5096774193548387,"frozenset({'lcom3', 'mfa'})"
0.3741935483870968,"frozenset({'npm', 'mfa'})"
0.36129032258064514,"frozenset({'ca', 'mfa'})"
0.34838709677419355,"frozenset({'dit', 'mfa'})"
0.33548387096774196,"frozenset({'amc', 'mfa'})"
0.3225806451612903,"frozenset({'loc', 'mfa'})"
0.3032258064516129,"frozenset({'lcom', 'mfa'})"
0.43870967741935485,"frozenset({'mfa', 'ce'})"
0.4645161290322581,"frozenset({'rfc', 'cbo'})"
0.32903225806451614,"frozenset({'rfc', 'max_cc'})"
0.36129032258064514,"frozenset({'ic', 'rfc'})"
0.3741935483870968,"frozenset({'dam', 'rfc'})"
0.33548387096774196,"frozenset({'rfc', 'cam'})"
