support,itemsets
0.45161290322580644,frozenset({'avg_cc'})
0.44516129032258067,frozenset({'moa'})
0.43870967741935485,frozenset({'noc'})
0.5032258064516129,frozenset({'mfa'})
0.5548387096774193,frozenset({'rfc'})
0.6838709677419355,frozenset({'cbo'})
0.432258064516129,frozenset({'max_cc'})
0.6387096774193548,frozenset({'ic'})
0.6,frozenset({'dam'})
0.49032258064516127,frozenset({'cam'})
0.7612903225806451,frozenset({'lcom3'})
0.6129032258064516,frozenset({'npm'})
0.5290322580645161,frozenset({'ca'})
0.44516129032258067,frozenset({'dit'})
0.45161290322580644,frozenset({'cbm'})
0.47096774193548385,frozenset({'amc'})
0.4774193548387097,frozenset({'loc'})
0.3741935483870968,frozenset({'lcom'})
0.7612903225806451,frozenset({'ce'})
0.3096774193548387,"frozenset({'avg_cc', 'mfa'})"
0.3225806451612903,"frozenset({'avg_cc', 'rfc'})"
0.3225806451612903,"frozenset({'avg_cc', 'cbo'})"
0.34838709677419355,"frozenset({'avg_cc', 'ic'})"
0.32903225806451614,"frozenset({'avg_cc', 'dam'})"
0.38064516129032255,"frozenset({'avg_cc', 'lcom3'})"
0.3161290322580645,"frozenset({'avg_cc', 'npm'})"
0.32903225806451614,"frozenset({'avg_cc', 'ce'})"
0.33548387096774196,"frozenset({'moa', 'cbo'})"
0.3419354838709677,"frozenset({'moa', 'ic'})"
0.3096774193548387,"frozenset({'moa', 'dam'})"
0.36774193548387096,"frozenset({'moa', 'lcom3'})"
0.3032258064516129,"frozenset({'cbm', 'moa'})"
0.3741935483870968,"frozenset({'moa', 'ce'})"
0.3225806451612903,"frozenset({'rfc', 'noc'})"
0.33548387096774196,"frozenset({'ic', 'noc'})"
0.3225806451612903,"frozenset({'dam', 'noc'})"
0.34838709677419355,"frozenset({'lcom3', 'noc'})"
0.3161290322580645,"frozenset({'npm', 'noc'})"
0.3096774193548387,"frozenset({'cbm', 'noc'})"
0.36774193548387096,"frozenset({'noc', 'ce'})"
0.36129032258064514,"frozenset({'rfc', 'mfa'})"
0.3548387096774194,"frozenset({'cbo', 'mfa'})"
0.3225806451612903,"frozenset({'max_cc', 'mfa'})"
0.4064516129032258,"frozenset({'ic', 'mfa'})"
0.36129032258064514,"frozenset({'dam', 'mfa'})"
0.33548387096774196,"frozenset({'cam', 'mfa'})"
0.4258064516129032,"frozenset({'lcom3', 'mfa'})"
0.3741935483870968,"frozenset({'npm', 'mfa'})"
0.32903225806451614,"frozenset({'ca', 'mfa'})"
0.3161290322580645,"frozenset({'amc', 'mfa'})"
0.3096774193548387,"frozenset({'loc', 'mfa'})"
0.4064516129032258,"frozenset({'mfa', 'ce'})"
0.38064516129032255,"frozenset({'rfc', 'cbo'})"
0.3032258064516129,"frozenset({'rfc', 'max_cc'})"
0.38064516129032255,"frozenset({'ic', 'rfc'})"
0.36129032258064514,"frozenset({'dam', 'rfc'})"
0.3225806451612903,"frozenset({'rfc', 'cam'})"
0.43870967741935485,"frozenset({'lcom3', 'rfc'})"
0.3741935483870968,"frozenset({'npm', 'rfc'})"
0.3419354838709677,"frozenset({'ca', 'rfc'})"
0.3096774193548387,"frozenset({'cbm', 'rfc'})"
0.3161290322580645,"frozenset({'rfc', 'loc'})"
0.45806451612903226,"frozenset({'rfc', 'ce'})"
0.3096774193548387,"frozenset({'cbo', 'max_cc'})"
0.4258064516129032,"frozenset({'ic', 'cbo'})"
0.41935483870967744,"frozenset({'dam', 'cbo'})"
0.3161290322580645,"frozenset({'cam', 'cbo'})"
0.5290322580645161,"frozenset({'lcom3', 'cbo'})"
0.41935483870967744,"frozenset({'npm', 'cbo'})"
0.3032258064516129,"frozenset({'ca', 'cbo'})"
0.34838709677419355,"frozenset({'cbo', 'dit'})"
0.3161290322580645,"frozenset({'cbm', 'cbo'})"
0.34838709677419355,"frozenset({'cbo', 'amc'})"
