support,itemsets
0.4064516129032258,frozenset({'avg_cc'})
0.3935483870967742,frozenset({'moa'})
0.38064516129032255,frozenset({'noc'})
0.4967741935483871,frozenset({'mfa'})
0.47096774193548385,frozenset({'rfc'})
0.6580645161290323,frozenset({'cbo'})
0.5096774193548387,frozenset({'max_cc'})
0.5612903225806452,frozenset({'ic'})
0.6,frozenset({'dam'})
0.5483870967741935,frozenset({'cam'})
0.6580645161290323,frozenset({'lcom3'})
0.6516129032258065,frozenset({'npm'})
0.47096774193548385,frozenset({'ca'})
0.47096774193548385,frozenset({'dit'})
0.3161290322580645,frozenset({'cbm'})
0.4129032258064516,frozenset({'amc'})
0.3161290322580645,frozenset({'loc'})
0.3032258064516129,frozenset({'lcom'})
0.6193548387096774,frozenset({'ce'})
0.3096774193548387,"frozenset({'avg_cc', 'npm'})"
0.3096774193548387,"frozenset({'moa', 'cbo'})"
0.3096774193548387,"frozenset({'moa', 'lcom3'})"
0.32903225806451614,"frozenset({'moa', 'npm'})"
0.3225806451612903,"frozenset({'rfc', 'mfa'})"
0.34838709677419355,"frozenset({'cbo', 'mfa'})"
0.3548387096774194,"frozenset({'ic', 'mfa'})"
0.33548387096774196,"frozenset({'dam', 'mfa'})"
0.3548387096774194,"frozenset({'lcom3', 'mfa'})"
0.34838709677419355,"frozenset({'npm', 'mfa'})"
0.3096774193548387,"frozenset({'dit', 'mfa'})"
0.3161290322580645,"frozenset({'mfa', 'ce'})"
0.3225806451612903,"frozenset({'rfc', 'cbo'})"
0.3225806451612903,"frozenset({'ic', 'rfc'})"
0.3225806451612903,"frozenset({'dam', 'rfc'})"
0.3032258064516129,"frozenset({'rfc', 'cam'})"
0.3741935483870968,"frozenset({'lcom3', 'rfc'})"
0.32903225806451614,"frozenset({'npm', 'rfc'})"
0.3032258064516129,"frozenset({'ca', 'rfc'})"
0.3161290322580645,"frozenset({'rfc', 'ce'})"
0.33548387096774196,"frozenset({'cbo', 'max_cc'})"
0.4064516129032258,"frozenset({'ic', 'cbo'})"
0.43870967741935485,"frozenset({'dam', 'cbo'})"
0.3935483870967742,"frozenset({'cam', 'cbo'})"
0.4838709677419355,"frozenset({'lcom3', 'cbo'})"
0.4258064516129032,"frozenset({'npm', 'cbo'})"
0.32903225806451614,"frozenset({'cbo', 'dit'})"
0.3225806451612903,"frozenset({'cbo', 'amc'})"
0.4064516129032258,"frozenset({'cbo', 'ce'})"
0.3548387096774194,"frozenset({'dam', 'max_cc'})"
0.3548387096774194,"frozenset({'cam', 'max_cc'})"
0.3741935483870968,"frozenset({'lcom3', 'max_cc'})"
0.36129032258064514,"frozenset({'npm', 'max_cc'})"
0.3935483870967742,"frozenset({'max_cc', 'ce'})"
0.4,"frozenset({'ic', 'dam'})"
0.3032258064516129,"frozenset({'ic', 'cam'})"
0.41935483870967744,"frozenset({'lcom3', 'ic'})"
0.43870967741935485,"frozenset({'npm', 'ic'})"
0.3225806451612903,"frozenset({'ca', 'ic'})"
0.3419354838709677,"frozenset({'ic', 'ce'})"
0.3741935483870968,"frozenset({'dam', 'cam'})"
0.4645161290322581,"frozenset({'lcom3', 'dam'})"
0.4064516129032258,"frozenset({'npm', 'dam'})"
0.3548387096774194,"frozenset({'ca', 'dam'})"
0.3225806451612903,"frozenset({'dam', 'dit'})"
0.4645161290322581,"frozenset({'dam', 'ce'})"
0.3935483870967742,"frozenset({'lcom3', 'cam'})"
0.3741935483870968,"frozenset({'npm', 'cam'})"
0.3741935483870968,"frozenset({'cam', 'ce'})"
0.45806451612903226,"frozenset({'lcom3', 'npm'})"
0.34838709677419355,"frozenset({'lcom3', 'ca'})"
0.3419354838709677,"frozenset({'lcom3', 'dit'})"
0.47096774193548385,"frozenset({'lcom3', 'ce'})"
0.3548387096774194,"frozenset({'npm', 'ca'})"
0.3225806451612903,"frozenset({'npm', 'dit'})"
0.4,"frozenset({'npm', 'ce'})"
0.38064516129032255,"frozenset({'ca', 'ce'})"
0.3419354838709677,"frozenset({'dit', 'ce'})"
0.3096774193548387,"frozenset({'amc', 'ce'})"
0.3032258064516129,"frozenset({'ic', 'dam', 'cbo'})"
0.32903225806451614,"frozenset({'lcom3', 'ic', 'cbo'})"
0.3161290322580645,"frozenset({'npm', 'ic', 'cbo'})"
0.34838709677419355,"frozenset({'lcom3', 'dam', 'cbo'})"
0.3032258064516129,"frozenset({'npm', 'dam', 'cbo'})"
0.3419354838709677,"frozenset({'dam', 'cbo', 'ce'})"
0.3161290322580645,"frozenset({'lcom3', 'cam', 'cbo'})"
0.33548387096774196,"frozenset({'lcom3', 'npm', 'cbo'})"
0.3419354838709677,"frozenset({'lcom3', 'cbo', 'ce'})"
0.3161290322580645,"frozenset({'lcom3', 'dam', 'max_cc'})"
0.3161290322580645,"frozenset({'dam', 'max_cc', 'ce'})"
0.3225806451612903,"frozenset({'lcom3', 'max_cc', 'ce'})"
0.3225806451612903,"frozenset({'lcom3', 'ic', 'dam'})"
0.3161290322580645,"frozenset({'npm', 'dam', 'ic'})"
0.3548387096774194,"frozenset({'lcom3', 'npm', 'ic'})"
0.3161290322580645,"frozenset({'lcom3', 'dam', 'cam'})"
0.3032258064516129,"frozenset({'dam', 'cam', 'ce'})"
0.3419354838709677,"frozenset({'lcom3', 'npm', 'dam'})"
0.36129032258064514,"frozenset({'lcom3', 'dam', 'ce'})"
0.3161290322580645,"frozenset({'npm', 'dam', 'ce'})"
0.3096774193548387,"frozenset({'ca', 'dam', 'ce'})"
0.3096774193548387,"frozenset({'lcom3', 'cam', 'ce'})"
0.3161290322580645,"frozenset({'lcom3', 'npm', 'ce'})"
