support,itemsets
0.5225806451612903,frozenset({'avg_cc'})
0.36774193548387096,frozenset({'moa'})
0.535483870967742,frozenset({'noc'})
0.6,frozenset({'mfa'})
0.535483870967742,frozenset({'rfc'})
0.5741935483870968,frozenset({'cbo'})
0.4967741935483871,frozenset({'max_cc'})
0.5096774193548387,frozenset({'ic'})
0.9225806451612903,frozenset({'dam'})
0.6387096774193548,frozenset({'cam'})
0.8580645161290322,frozenset({'lcom3'})
0.4967741935483871,frozenset({'npm'})
0.567741935483871,frozenset({'ca'})
0.7096774193548387,frozenset({'dit'})
0.7096774193548387,frozenset({'cbm'})
0.5935483870967742,frozenset({'amc'})
0.535483870967742,frozenset({'loc'})
0.432258064516129,frozenset({'lcom'})
0.535483870967742,frozenset({'ce'})
0.34838709677419355,"frozenset({'avg_cc', 'noc'})"
0.3935483870967742,"frozenset({'avg_cc', 'mfa'})"
0.34838709677419355,"frozenset({'avg_cc', 'rfc'})"
0.38064516129032255,"frozenset({'avg_cc', 'cbo'})"
0.3419354838709677,"frozenset({'avg_cc', 'ic'})"
0.5161290322580645,"frozenset({'avg_cc', 'dam'})"
0.4064516129032258,"frozenset({'avg_cc', 'cam'})"
0.4645161290322581,"frozenset({'avg_cc', 'lcom3'})"
0.32903225806451614,"frozenset({'avg_cc', 'npm'})"
0.3741935483870968,"frozenset({'avg_cc', 'ca'})"
0.4,"frozenset({'avg_cc', 'dit'})"
0.4129032258064516,"frozenset({'avg_cc', 'cbm'})"
0.3548387096774194,"frozenset({'avg_cc', 'amc'})"
0.3161290322580645,"frozenset({'avg_cc', 'loc'})"
0.3161290322580645,"frozenset({'avg_cc', 'lcom'})"
0.3419354838709677,"frozenset({'avg_cc', 'ce'})"
0.3419354838709677,"frozenset({'moa', 'dam'})"
0.34838709677419355,"frozenset({'moa', 'lcom3'})"
0.3161290322580645,"frozenset({'cbm', 'moa'})"
0.3548387096774194,"frozenset({'noc', 'mfa'})"
0.3548387096774194,"frozenset({'rfc', 'noc'})"
0.3870967741935484,"frozenset({'noc', 'cbo'})"
0.32903225806451614,"frozenset({'ic', 'noc'})"
0.5032258064516129,"frozenset({'dam', 'noc'})"
0.41935483870967744,"frozenset({'noc', 'cam'})"
0.4967741935483871,"frozenset({'lcom3', 'noc'})"
0.3161290322580645,"frozenset({'npm', 'noc'})"
0.3419354838709677,"frozenset({'ca', 'noc'})"
0.4,"frozenset({'noc', 'dit'})"
0.4,"frozenset({'cbm', 'noc'})"
0.3741935483870968,"frozenset({'noc', 'amc'})"
0.3419354838709677,"frozenset({'noc', 'loc'})"
0.32903225806451614,"frozenset({'lcom', 'noc'})"
0.3419354838709677,"frozenset({'noc', 'ce'})"
0.36774193548387096,"frozenset({'rfc', 'mfa'})"
0.4,"frozenset({'cbo', 'mfa'})"
0.34838709677419355,"frozenset({'max_cc', 'mfa'})"
0.3935483870967742,"frozenset({'ic', 'mfa'})"
0.5612903225806452,"frozenset({'dam', 'mfa'})"
0.41935483870967744,"frozenset({'cam', 'mfa'})"
0.5096774193548387,"frozenset({'lcom3', 'mfa'})"
0.3741935483870968,"frozenset({'npm', 'mfa'})"
0.4064516129032258,"frozenset({'ca', 'mfa'})"
0.432258064516129,"frozenset({'dit', 'mfa'})"
0.45806451612903226,"frozenset({'cbm', 'mfa'})"
0.4,"frozenset({'amc', 'mfa'})"
0.36129032258064514,"frozenset({'loc', 'mfa'})"
0.32903225806451614,"frozenset({'lcom', 'mfa'})"
0.3741935483870968,"frozenset({'mfa', 'ce'})"
0.41935483870967744,"frozenset({'rfc', 'cbo'})"
0.32903225806451614,"frozenset({'rfc', 'max_cc'})"
0.36129032258064514,"frozenset({'ic', 'rfc'})"
0.49032258064516127,"frozenset({'dam', 'rfc'})"
0.38064516129032255,"frozenset({'rfc', 'cam'})"
0.4774193548387097,"frozenset({'lcom3', 'rfc'})"
0.3225806451612903,"frozenset({'npm', 'rfc'})"
0.36774193548387096,"frozenset({'ca', 'rfc'})"
0.43870967741935485,"frozenset({'rfc', 'dit'})"
0.44516129032258067,"frozenset({'cbm', 'rfc'})"
0.3935483870967742,"frozenset({'rfc', 'amc'})"
0.33548387096774196,"frozenset({'rfc', 'loc'})"
0.34838709677419355,"frozenset({'rfc', 'lcom'})"
0.3419354838709677,"frozenset({'rfc', 'ce'})"
0.3548387096774194,"frozenset({'cbo', 'max_cc'})"
0.3741935483870968,"frozenset({'ic', 'cbo'})"
0.5225806451612903,"frozenset({'dam', 'cbo'})"
0.4129032258064516,"frozenset({'cam', 'cbo'})"
0.5096774193548387,"frozenset({'lcom3', 'cbo'})"
0.33548387096774196,"frozenset({'npm', 'cbo'})"
0.3741935483870968,"frozenset({'ca', 'cbo'})"
0.4774193548387097,"frozenset({'cbo', 'dit'})"
0.4774193548387097,"frozenset({'cbm', 'cbo'})"
0.4258064516129032,"frozenset({'cbo', 'amc'})"
0.3548387096774194,"frozenset({'loc', 'cbo'})"
0.36129032258064514,"frozenset({'lcom', 'cbo'})"
0.34838709677419355,"frozenset({'cbo', 'ce'})"
0.3032258064516129,"frozenset({'ic', 'max_cc'})"
0.44516129032258067,"frozenset({'dam', 'max_cc'})"
0.36774193548387096,"frozenset({'cam', 'max_cc'})"
0.41935483870967744,"frozenset({'lcom3', 'max_cc'})"
0.33548387096774196,"frozenset({'npm', 'max_cc'})"
0.3096774193548387,"frozenset({'ca', 'max_cc'})"
0.41935483870967744,"frozenset({'dit', 'max_cc'})"
0.44516129032258067,"frozenset({'cbm', 'max_cc'})"
0.33548387096774196,"frozenset({'amc', 'max_cc'})"
0.3096774193548387,"frozenset({'loc', 'max_cc'})"
0.4645161290322581,"frozenset({'ic', 'dam'})"
0.38064516129032255,"frozenset({'ic', 'cam'})"
0.45161290322580644,"frozenset({'lcom3', 'ic'})"
0.3096774193548387,"frozenset({'npm', 'ic'})"
0.3419354838709677,"frozenset({'ca', 'ic'})"
0.4064516129032258,"frozenset({'ic', 'dit'})"
0.4064516129032258,"frozenset({'cbm', 'ic'})"
0.38064516129032255,"frozenset({'ic', 'amc'})"
0.36129032258064514,"frozenset({'ic', 'loc'})"
0.3032258064516129,"frozenset({'ic', 'lcom'})"
0.3548387096774194,"frozenset({'ic', 'ce'})"
0.6,"frozenset({'dam', 'cam'})"
0.8,"frozenset({'lcom3', 'dam'})"
0.4645161290322581,"frozenset({'npm', 'dam'})"
0.5290322580645161,"frozenset({'ca', 'dam'})"
0.6451612903225806,"frozenset({'dam', 'dit'})"
0.6774193548387096,"frozenset({'cbm', 'dam'})"
0.5419354838709678,"frozenset({'dam', 'amc'})"
0.4967741935483871,"frozenset({'dam', 'loc'})"
0.3935483870967742,"frozenset({'dam', 'lcom'})"
0.5161290322580645,"frozenset({'dam', 'ce'})"
0.5612903225806452,"frozenset({'lcom3', 'cam'})"
0.4,"frozenset({'npm', 'cam'})"
0.4258064516129032,"frozenset({'ca', 'cam'})"
0.43870967741935485,"frozenset({'cam', 'dit'})"
0.49032258064516127,"frozenset({'cbm', 'cam'})"
0.41935483870967744,"frozenset({'cam', 'amc'})"
0.3870967741935484,"frozenset({'cam', 'loc'})"
0.36129032258064514,"frozenset({'lcom', 'cam'})"
0.3935483870967742,"frozenset({'cam', 'ce'})"
0.44516129032258067,"frozenset({'lcom3', 'npm'})"
0.5096774193548387,"frozenset({'lcom3', 'ca'})"
0.6451612903225806,"frozenset({'lcom3', 'dit'})"
0.6258064516129033,"frozenset({'cbm', 'lcom3'})"
0.5161290322580645,"frozenset({'lcom3', 'amc'})"
0.47096774193548385,"frozenset({'lcom3', 'loc'})"
0.3935483870967742,"frozenset({'lcom3', 'lcom'})"
0.4645161290322581,"frozenset({'lcom3', 'ce'})"
0.3419354838709677,"frozenset({'npm', 'ca'})"
0.3548387096774194,"frozenset({'npm', 'dit'})"
0.41935483870967744,"frozenset({'cbm', 'npm'})"
0.3935483870967742,"frozenset({'npm', 'amc'})"
0.3548387096774194,"frozenset({'npm', 'loc'})"
