antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'avg_cc'}),frozenset({'lcom3'}),0.3548387096774194,0.7677419354838709,0.32903225806451614,0.9272727272727272,1.2077922077922079,0.056607700312174825,3.1935483870967736
frozenset({'moa'}),frozenset({'lcom3'}),0.34838709677419355,0.7677419354838709,0.3419354838709677,0.9814814814814814,1.2784002489884843,0.07446409989594172,12.541935483870914
frozenset({'rfc'}),frozenset({'noc'}),0.4774193548387097,0.4774193548387097,0.3225806451612903,0.6756756756756757,1.4152666179693207,0.09465140478668052,1.611290322580645
frozenset({'noc'}),frozenset({'rfc'}),0.4774193548387097,0.4774193548387097,0.3225806451612903,0.6756756756756757,1.4152666179693207,0.09465140478668052,1.611290322580645
frozenset({'noc'}),frozenset({'cbo'}),0.4774193548387097,0.4774193548387097,0.3032258064516129,0.6351351351351351,1.3303506208911613,0.07529656607700311,1.432258064516129
frozenset({'cbo'}),frozenset({'noc'}),0.4774193548387097,0.4774193548387097,0.3032258064516129,0.6351351351351351,1.3303506208911613,0.07529656607700311,1.432258064516129
frozenset({'ic'}),frozenset({'noc'}),0.41935483870967744,0.4774193548387097,0.3096774193548387,0.7384615384615385,1.5467775467775469,0.10946930280957337,1.9981024667931693
frozenset({'noc'}),frozenset({'ic'}),0.4774193548387097,0.41935483870967744,0.3096774193548387,0.6486486486486487,1.5467775467775469,0.10946930280957337,1.652605459057072
frozenset({'noc'}),frozenset({'dam'}),0.4774193548387097,0.5935483870967742,0.32903225806451614,0.6891891891891893,1.1611339600470036,0.04566077003121749,1.3077138849929877
frozenset({'noc'}),frozenset({'cam'}),0.4774193548387097,0.535483870967742,0.3161290322580645,0.6621621621621621,1.2365678931943989,0.060478668054110285,1.3749677419354833
frozenset({'noc'}),frozenset({'lcom3'}),0.4774193548387097,0.7677419354838709,0.41935483870967744,0.8783783783783784,1.1441062911651148,0.05281997918834552,1.9096774193548394
frozenset({'npm'}),frozenset({'noc'}),0.45161290322580644,0.4774193548387097,0.3032258064516129,0.6714285714285715,1.4063706563706564,0.08761706555671175,1.5904628330995796
frozenset({'noc'}),frozenset({'npm'}),0.4774193548387097,0.45161290322580644,0.3032258064516129,0.6351351351351351,1.4063706563706564,0.08761706555671175,1.5029868578255672
frozenset({'ca'}),frozenset({'noc'}),0.5161290322580645,0.4774193548387097,0.3096774193548387,0.6000000000000001,1.256756756756757,0.06326742976066599,1.3064516129032262
frozenset({'noc'}),frozenset({'ca'}),0.4774193548387097,0.5161290322580645,0.3096774193548387,0.6486486486486487,1.2567567567567568,0.06326742976066599,1.3771712158808935
frozenset({'noc'}),frozenset({'amc'}),0.4774193548387097,0.5870967741935483,0.3225806451612903,0.6756756756756757,1.150876150876151,0.04228928199791887,1.2731182795698925
frozenset({'noc'}),frozenset({'loc'}),0.4774193548387097,0.4645161290322581,0.3161290322580645,0.6621621621621621,1.4254879879879878,0.09436004162330902,1.5850322580645155
frozenset({'loc'}),frozenset({'noc'}),0.4645161290322581,0.4774193548387097,0.3161290322580645,0.6805555555555555,1.4254879879879878,0.09436004162330902,1.6359046283309953
frozenset({'noc'}),frozenset({'ce'}),0.4774193548387097,0.4967741935483871,0.3419354838709677,0.7162162162162162,1.4417339417339419,0.10476586888657646,1.7732718894009216
frozenset({'ce'}),frozenset({'noc'}),0.4967741935483871,0.4774193548387097,0.3419354838709677,0.6883116883116883,1.4417339417339416,0.10476586888657646,1.6766129032258066
frozenset({'mfa'}),frozenset({'lcom3'}),0.432258064516129,0.7677419354838709,0.3870967741935484,0.8955223880597015,1.1664367239433087,0.05523413111342351,2.2230414746543787
frozenset({'rfc'}),frozenset({'dam'}),0.4774193548387097,0.5935483870967742,0.33548387096774196,0.7027027027027027,1.183901292596945,0.05211238293444331,1.3671554252199416
frozenset({'rfc'}),frozenset({'lcom3'}),0.4774193548387097,0.7677419354838709,0.4258064516129032,0.8918918918918919,1.1617079264138088,0.05927159209157129,2.1483870967741936
frozenset({'npm'}),frozenset({'rfc'}),0.45161290322580644,0.4774193548387097,0.3161290322580645,0.7,1.4662162162162162,0.10052029136316334,1.7419354838709675
frozenset({'rfc'}),frozenset({'npm'}),0.4774193548387097,0.45161290322580644,0.3161290322580645,0.6621621621621621,1.466216216216216,0.10052029136316334,1.6232258064516123
frozenset({'rfc'}),frozenset({'ca'}),0.4774193548387097,0.5161290322580645,0.3032258064516129,0.6351351351351351,1.2305743243243243,0.056815816857440166,1.3261648745519712
frozenset({'rfc'}),frozenset({'dit'}),0.4774193548387097,0.4967741935483871,0.3096774193548387,0.6486486486486487,1.3057213057213057,0.07250780437044746,1.4322580645161291
frozenset({'dit'}),frozenset({'rfc'}),0.4967741935483871,0.4774193548387097,0.3096774193548387,0.6233766233766234,1.3057213057213057,0.07250780437044746,1.3875417130144605
frozenset({'rfc'}),frozenset({'amc'}),0.4774193548387097,0.5870967741935483,0.3161290322580645,0.6621621621621621,1.1278586278586278,0.03583766909469305,1.2221935483870965
frozenset({'rfc'}),frozenset({'ce'}),0.4774193548387097,0.4967741935483871,0.33548387096774196,0.7027027027027027,1.4145314145314147,0.0983142559833507,1.6926686217008797
frozenset({'ce'}),frozenset({'rfc'}),0.4967741935483871,0.4774193548387097,0.33548387096774196,0.6753246753246754,1.4145314145314147,0.0983142559833507,1.6095483870967748
frozenset({'cbo'}),frozenset({'dam'}),0.4774193548387097,0.5935483870967742,0.33548387096774196,0.7027027027027027,1.183901292596945,0.05211238293444331,1.3671554252199416
frozenset({'cbo'}),frozenset({'cam'}),0.4774193548387097,0.535483870967742,0.3096774193548387,0.6486486486486487,1.2113318137414524,0.05402705515088452,1.3220843672456577
frozenset({'cbo'}),frozenset({'lcom3'}),0.4774193548387097,0.7677419354838709,0.4258064516129032,0.8918918918918919,1.1617079264138088,0.05927159209157129,2.1483870967741936
frozenset({'cbo'}),frozenset({'dit'}),0.4774193548387097,0.4967741935483871,0.32903225806451614,0.6891891891891893,1.3873288873288876,0.09186264308012487,1.6190743338008418
frozenset({'dit'}),frozenset({'cbo'}),0.4967741935483871,0.4774193548387097,0.32903225806451614,0.6623376623376623,1.3873288873288874,0.09186264308012487,1.5476426799007443
frozenset({'cbm'}),frozenset({'cbo'}),0.4774193548387097,0.4774193548387097,0.3161290322580645,0.6621621621621621,1.386961285609934,0.0881997918834547,1.546838709677419
frozenset({'cbo'}),frozenset({'cbm'}),0.4774193548387097,0.4774193548387097,0.3161290322580645,0.6621621621621621,1.386961285609934,0.0881997918834547,1.546838709677419
frozenset({'cbo'}),frozenset({'amc'}),0.4774193548387097,0.5870967741935483,0.32903225806451614,0.6891891891891893,1.173893673893674,0.048740894901144693,1.3284712482468448
frozenset({'cbo'}),frozenset({'ce'}),0.4774193548387097,0.4967741935483871,0.3548387096774194,0.7432432432432433,1.4961389961389964,0.11766909469302811,1.9599320882852296
frozenset({'ce'}),frozenset({'cbo'}),0.4967741935483871,0.4774193548387097,0.3548387096774194,0.7142857142857143,1.4961389961389961,0.11766909469302811,1.8290322580645162
frozenset({'max_cc'}),frozenset({'lcom3'}),0.34838709677419355,0.7677419354838709,0.32903225806451614,0.9444444444444444,1.2301587301587302,0.061560874089490125,4.180645161290322
frozenset({'ic'}),frozenset({'lcom3'}),0.41935483870967744,0.7677419354838709,0.3419354838709677,0.8153846153846153,1.0620555914673562,0.019979188345473464,1.2580645161290316
