support,itemsets
0.36129032258064514,frozenset({'avg_cc'})
0.3161290322580645,frozenset({'moa'})
0.4,frozenset({'noc'})
0.4129032258064516,frozenset({'mfa'})
0.3741935483870968,frozenset({'rfc'})
0.4645161290322581,frozenset({'cbo'})
0.36129032258064514,frozenset({'max_cc'})
0.32903225806451614,frozenset({'ic'})
0.5032258064516129,frozenset({'dam'})
0.5225806451612903,frozenset({'cam'})
0.7935483870967742,frozenset({'lcom3'})
0.47096774193548385,frozenset({'npm'})
0.38064516129032255,frozenset({'ca'})
0.5741935483870968,frozenset({'dit'})
0.4,frozenset({'cbm'})
0.5096774193548387,frozenset({'amc'})
0.432258064516129,frozenset({'loc'})
0.3225806451612903,frozenset({'lcom'})
0.4838709677419355,frozenset({'ce'})
0.3225806451612903,"frozenset({'avg_cc', 'lcom3'})"
0.36129032258064514,"frozenset({'lcom3', 'noc'})"
0.3419354838709677,"frozenset({'lcom3', 'mfa'})"
0.3096774193548387,"frozenset({'lcom3', 'rfc'})"
0.432258064516129,"frozenset({'lcom3', 'cbo'})"
0.3741935483870968,"frozenset({'cbo', 'dit'})"
0.3096774193548387,"frozenset({'cbo', 'ce'})"
0.3161290322580645,"frozenset({'lcom3', 'max_cc'})"
0.4258064516129032,"frozenset({'lcom3', 'dam'})"
0.32903225806451614,"frozenset({'dam', 'dit'})"
0.3161290322580645,"frozenset({'dam', 'amc'})"
0.432258064516129,"frozenset({'lcom3', 'cam'})"
0.34838709677419355,"frozenset({'cam', 'dit'})"
0.36129032258064514,"frozenset({'lcom3', 'npm'})"
0.34838709677419355,"frozenset({'lcom3', 'ca'})"
0.535483870967742,"frozenset({'lcom3', 'dit'})"
0.32903225806451614,"frozenset({'cbm', 'lcom3'})"
0.4129032258064516,"frozenset({'lcom3', 'amc'})"
0.36774193548387096,"frozenset({'lcom3', 'loc'})"
0.45806451612903226,"frozenset({'lcom3', 'ce'})"
0.3032258064516129,"frozenset({'npm', 'amc'})"
0.3225806451612903,"frozenset({'amc', 'dit'})"
0.36129032258064514,"frozenset({'dit', 'ce'})"
0.34838709677419355,"frozenset({'lcom3', 'cbo', 'dit'})"
0.3161290322580645,"frozenset({'lcom3', 'dam', 'dit'})"
0.3225806451612903,"frozenset({'lcom3', 'cam', 'dit'})"
0.3032258064516129,"frozenset({'lcom3', 'amc', 'dit'})"
0.34838709677419355,"frozenset({'lcom3', 'dit', 'ce'})"
