support,itemsets
0.4645161290322581,frozenset({'avg_cc'})
0.34838709677419355,frozenset({'moa'})
0.5032258064516129,frozenset({'noc'})
0.5032258064516129,frozenset({'mfa'})
0.45161290322580644,frozenset({'rfc'})
0.4645161290322581,frozenset({'cbo'})
0.4774193548387097,frozenset({'max_cc'})
0.3419354838709677,frozenset({'ic'})
0.6516129032258065,frozenset({'dam'})
0.6129032258064516,frozenset({'cam'})
0.7419354838709677,frozenset({'lcom3'})
0.4967741935483871,frozenset({'npm'})
0.4645161290322581,frozenset({'ca'})
0.4838709677419355,frozenset({'dit'})
0.5483870967741935,frozenset({'cbm'})
0.5032258064516129,frozenset({'amc'})
0.5612903225806452,frozenset({'loc'})
0.3548387096774194,frozenset({'lcom'})
0.49032258064516127,frozenset({'ce'})
0.3096774193548387,"frozenset({'avg_cc', 'noc'})"
0.36129032258064514,"frozenset({'avg_cc', 'dam'})"
0.3419354838709677,"frozenset({'avg_cc', 'cam'})"
0.4,"frozenset({'avg_cc', 'lcom3'})"
0.3161290322580645,"frozenset({'moa', 'lcom3'})"
0.3225806451612903,"frozenset({'noc', 'mfa'})"
0.3032258064516129,"frozenset({'noc', 'max_cc'})"
0.3870967741935484,"frozenset({'dam', 'noc'})"
0.3419354838709677,"frozenset({'noc', 'cam'})"
0.432258064516129,"frozenset({'lcom3', 'noc'})"
0.3225806451612903,"frozenset({'ca', 'noc'})"
0.3032258064516129,"frozenset({'noc', 'dit'})"
0.34838709677419355,"frozenset({'cbm', 'noc'})"
0.33548387096774196,"frozenset({'noc', 'loc'})"
0.3096774193548387,"frozenset({'noc', 'ce'})"
0.3161290322580645,"frozenset({'rfc', 'mfa'})"
0.3548387096774194,"frozenset({'cbo', 'mfa'})"
0.3096774193548387,"frozenset({'max_cc', 'mfa'})"
0.4,"frozenset({'dam', 'mfa'})"
0.36774193548387096,"frozenset({'cam', 'mfa'})"
0.43870967741935485,"frozenset({'lcom3', 'mfa'})"
0.38064516129032255,"frozenset({'cbm', 'mfa'})"
0.36129032258064514,"frozenset({'loc', 'mfa'})"
0.3419354838709677,"frozenset({'mfa', 'ce'})"
0.3096774193548387,"frozenset({'rfc', 'max_cc'})"
0.34838709677419355,"frozenset({'dam', 'rfc'})"
0.32903225806451614,"frozenset({'rfc', 'cam'})"
0.3870967741935484,"frozenset({'lcom3', 'rfc'})"
0.3032258064516129,"frozenset({'npm', 'rfc'})"
0.3161290322580645,"frozenset({'cbm', 'rfc'})"
0.3161290322580645,"frozenset({'rfc', 'amc'})"
0.3032258064516129,"frozenset({'rfc', 'loc'})"
0.3032258064516129,"frozenset({'rfc', 'ce'})"
0.34838709677419355,"frozenset({'dam', 'cbo'})"
0.3548387096774194,"frozenset({'cam', 'cbo'})"
0.4258064516129032,"frozenset({'lcom3', 'cbo'})"
0.3419354838709677,"frozenset({'cbm', 'cbo'})"
0.3096774193548387,"frozenset({'loc', 'cbo'})"
0.3161290322580645,"frozenset({'cbo', 'ce'})"
0.4064516129032258,"frozenset({'dam', 'max_cc'})"
0.36129032258064514,"frozenset({'cam', 'max_cc'})"
0.4064516129032258,"frozenset({'lcom3', 'max_cc'})"
0.3096774193548387,"frozenset({'npm', 'max_cc'})"
0.3096774193548387,"frozenset({'ca', 'max_cc'})"
0.3419354838709677,"frozenset({'cbm', 'max_cc'})"
0.3032258064516129,"frozenset({'loc', 'max_cc'})"
0.3161290322580645,"frozenset({'lcom3', 'ic'})"
0.45806451612903226,"frozenset({'dam', 'cam'})"
0.5419354838709678,"frozenset({'lcom3', 'dam'})"
0.36774193548387096,"frozenset({'npm', 'dam'})"
0.3419354838709677,"frozenset({'ca', 'dam'})"
0.33548387096774196,"frozenset({'dam', 'dit'})"
0.4064516129032258,"frozenset({'cbm', 'dam'})"
0.36774193548387096,"frozenset({'dam', 'amc'})"
0.4064516129032258,"frozenset({'dam', 'loc'})"
0.36774193548387096,"frozenset({'dam', 'ce'})"
0.4967741935483871,"frozenset({'lcom3', 'cam'})"
0.3096774193548387,"frozenset({'npm', 'cam'})"
0.36129032258064514,"frozenset({'cbm', 'cam'})"
0.34838709677419355,"frozenset({'cam', 'amc'})"
0.38064516129032255,"frozenset({'cam', 'loc'})"
0.3096774193548387,"frozenset({'cam', 'ce'})"
0.3548387096774194,"frozenset({'lcom3', 'npm'})"
0.3935483870967742,"frozenset({'lcom3', 'ca'})"
0.41935483870967744,"frozenset({'lcom3', 'dit'})"
0.44516129032258067,"frozenset({'cbm', 'lcom3'})"
0.3935483870967742,"frozenset({'lcom3', 'amc'})"
0.432258064516129,"frozenset({'lcom3', 'loc'})"
0.32903225806451614,"frozenset({'lcom3', 'lcom'})"
0.432258064516129,"frozenset({'lcom3', 'ce'})"
0.3225806451612903,"frozenset({'cbm', 'npm'})"
0.3161290322580645,"frozenset({'npm', 'amc'})"
0.3096774193548387,"frozenset({'npm', 'loc'})"
0.3032258064516129,"frozenset({'ca', 'loc'})"
0.3225806451612903,"frozenset({'cbm', 'dit'})"
0.32903225806451614,"frozenset({'loc', 'dit'})"
0.3741935483870968,"frozenset({'cbm', 'loc'})"
0.3419354838709677,"frozenset({'cbm', 'ce'})"
0.3032258064516129,"frozenset({'loc', 'amc'})"
0.3161290322580645,"frozenset({'loc', 'ce'})"
0.3161290322580645,"frozenset({'avg_cc', 'lcom3', 'dam'})"
0.3161290322580645,"frozenset({'avg_cc', 'lcom3', 'cam'})"
0.3032258064516129,"frozenset({'lcom3', 'noc', 'mfa'})"
0.34838709677419355,"frozenset({'lcom3', 'dam', 'noc'})"
0.3096774193548387,"frozenset({'lcom3', 'noc', 'cam'})"
0.3032258064516129,"frozenset({'cbm', 'lcom3', 'noc'})"
0.33548387096774196,"frozenset({'lcom3', 'cbo', 'mfa'})"
0.3096774193548387,"frozenset({'dam', 'cam', 'mfa'})"
0.38064516129032255,"frozenset({'lcom3', 'dam', 'mfa'})"
0.33548387096774196,"frozenset({'lcom3', 'cam', 'mfa'})"
0.32903225806451614,"frozenset({'cbm', 'lcom3', 'mfa'})"
0.3161290322580645,"frozenset({'lcom3', 'loc', 'mfa'})"
0.3161290322580645,"frozenset({'mfa', 'lcom3', 'ce'})"
0.3032258064516129,"frozenset({'cbm', 'loc', 'mfa'})"
0.33548387096774196,"frozenset({'lcom3', 'dam', 'rfc'})"
0.3032258064516129,"frozenset({'lcom3', 'rfc', 'cam'})"
0.33548387096774196,"frozenset({'lcom3', 'dam', 'cbo'})"
0.32903225806451614,"frozenset({'lcom3', 'cam', 'cbo'})"
0.3225806451612903,"frozenset({'cbm', 'lcom3', 'cbo'})"
0.3096774193548387,"frozenset({'lcom3', 'cbo', 'ce'})"
0.3161290322580645,"frozenset({'dam', 'cam', 'max_cc'})"
0.34838709677419355,"frozenset({'lcom3', 'dam', 'max_cc'})"
0.32903225806451614,"frozenset({'lcom3', 'cam', 'max_cc'})"
0.3161290322580645,"frozenset({'cbm', 'lcom3', 'max_cc'})"
0.4,"frozenset({'lcom3', 'dam', 'cam'})"
0.3032258064516129,"frozenset({'cbm', 'dam', 'cam'})"
0.3161290322580645,"frozenset({'dam', 'cam', 'loc'})"
0.3225806451612903,"frozenset({'lcom3', 'dam', 'dit'})"
0.3870967741935484,"frozenset({'cbm', 'lcom3', 'dam'})"
0.3225806451612903,"frozenset({'lcom3', 'dam', 'amc'})"
0.3741935483870968,"frozenset({'lcom3', 'dam', 'loc'})"
0.34838709677419355,"frozenset({'lcom3', 'dam', 'ce'})"
0.3161290322580645,"frozenset({'cbm', 'lcom3', 'cam'})"
0.32903225806451614,"frozenset({'lcom3', 'cam', 'loc'})"
0.3032258064516129,"frozenset({'cbm', 'lcom3', 'ce'})"
