support,itemsets
0.535483870967742,frozenset({'avg_cc'})
0.4838709677419355,frozenset({'moa'})
0.5419354838709678,frozenset({'noc'})
0.6516129032258065,frozenset({'mfa'})
0.8129032258064516,frozenset({'rfc'})
0.6516129032258065,frozenset({'cbo'})
0.5548387096774193,frozenset({'max_cc'})
0.5096774193548387,frozenset({'ic'})
0.5548387096774193,frozenset({'dam'})
0.6516129032258065,frozenset({'cam'})
0.5419354838709678,frozenset({'lcom3'})
0.5032258064516129,frozenset({'npm'})
0.5935483870967742,frozenset({'ca'})
0.45161290322580644,frozenset({'dit'})
0.5419354838709678,frozenset({'cbm'})
0.5612903225806452,frozenset({'amc'})
0.6387096774193548,frozenset({'loc'})
0.5612903225806452,frozenset({'lcom'})
0.864516129032258,frozenset({'ce'})
0.32903225806451614,"frozenset({'avg_cc', 'moa'})"
0.33548387096774196,"frozenset({'avg_cc', 'noc'})"
0.36129032258064514,"frozenset({'avg_cc', 'mfa'})"
0.432258064516129,"frozenset({'avg_cc', 'rfc'})"
0.4258064516129032,"frozenset({'avg_cc', 'cbo'})"
0.36129032258064514,"frozenset({'avg_cc', 'max_cc'})"
0.36774193548387096,"frozenset({'avg_cc', 'dam'})"
0.4,"frozenset({'avg_cc', 'cam'})"
0.38064516129032255,"frozenset({'avg_cc', 'lcom3'})"
0.34838709677419355,"frozenset({'avg_cc', 'npm'})"
0.36774193548387096,"frozenset({'avg_cc', 'ca'})"
0.3096774193548387,"frozenset({'avg_cc', 'dit'})"
0.32903225806451614,"frozenset({'avg_cc', 'cbm'})"
0.3161290322580645,"frozenset({'avg_cc', 'amc'})"
0.3741935483870968,"frozenset({'avg_cc', 'loc'})"
0.3419354838709677,"frozenset({'avg_cc', 'lcom'})"
0.44516129032258067,"frozenset({'avg_cc', 'ce'})"
0.32903225806451614,"frozenset({'moa', 'noc'})"
0.32903225806451614,"frozenset({'moa', 'mfa'})"
0.4129032258064516,"frozenset({'moa', 'rfc'})"
0.4,"frozenset({'moa', 'cbo'})"
0.3161290322580645,"frozenset({'moa', 'max_cc'})"
0.4,"frozenset({'moa', 'cam'})"
0.3548387096774194,"frozenset({'moa', 'lcom3'})"
0.3225806451612903,"frozenset({'moa', 'npm'})"
0.33548387096774196,"frozenset({'moa', 'ca'})"
0.3032258064516129,"frozenset({'moa', 'dit'})"
0.32903225806451614,"frozenset({'cbm', 'moa'})"
0.34838709677419355,"frozenset({'moa', 'amc'})"
0.38064516129032255,"frozenset({'moa', 'loc'})"
0.3419354838709677,"frozenset({'moa', 'lcom'})"
0.43870967741935485,"frozenset({'moa', 'ce'})"
0.3935483870967742,"frozenset({'noc', 'mfa'})"
0.4774193548387097,"frozenset({'rfc', 'noc'})"
0.41935483870967744,"frozenset({'noc', 'cbo'})"
0.36129032258064514,"frozenset({'noc', 'max_cc'})"
0.3419354838709677,"frozenset({'dam', 'noc'})"
0.3935483870967742,"frozenset({'noc', 'cam'})"
0.33548387096774196,"frozenset({'lcom3', 'noc'})"
0.3032258064516129,"frozenset({'npm', 'noc'})"
0.36774193548387096,"frozenset({'ca', 'noc'})"
0.3161290322580645,"frozenset({'noc', 'dit'})"
0.36774193548387096,"frozenset({'cbm', 'noc'})"
0.3419354838709677,"frozenset({'noc', 'amc'})"
0.3870967741935484,"frozenset({'noc', 'loc'})"
0.4,"frozenset({'lcom', 'noc'})"
0.5096774193548387,"frozenset({'noc', 'ce'})"
0.5870967741935483,"frozenset({'rfc', 'mfa'})"
0.4,"frozenset({'cbo', 'mfa'})"
0.41935483870967744,"frozenset({'max_cc', 'mfa'})"
0.4258064516129032,"frozenset({'ic', 'mfa'})"
0.43870967741935485,"frozenset({'dam', 'mfa'})"
0.432258064516129,"frozenset({'cam', 'mfa'})"
0.3870967741935484,"frozenset({'lcom3', 'mfa'})"
0.34838709677419355,"frozenset({'npm', 'mfa'})"
0.4258064516129032,"frozenset({'ca', 'mfa'})"
0.3161290322580645,"frozenset({'dit', 'mfa'})"
0.4129032258064516,"frozenset({'cbm', 'mfa'})"
0.4,"frozenset({'amc', 'mfa'})"
0.4838709677419355,"frozenset({'loc', 'mfa'})"
0.43870967741935485,"frozenset({'lcom', 'mfa'})"
0.567741935483871,"frozenset({'mfa', 'ce'})"
0.5290322580645161,"frozenset({'rfc', 'cbo'})"
0.45161290322580644,"frozenset({'rfc', 'max_cc'})"
0.45161290322580644,"frozenset({'ic', 'rfc'})"
0.47096774193548385,"frozenset({'dam', 'rfc'})"
0.4967741935483871,"frozenset({'rfc', 'cam'})"
0.44516129032258067,"frozenset({'lcom3', 'rfc'})"
0.41935483870967744,"frozenset({'npm', 'rfc'})"
0.4645161290322581,"frozenset({'ca', 'rfc'})"
0.3548387096774194,"frozenset({'rfc', 'dit'})"
0.4645161290322581,"frozenset({'cbm', 'rfc'})"
0.4645161290322581,"frozenset({'rfc', 'amc'})"
0.5225806451612903,"frozenset({'rfc', 'loc'})"
0.4774193548387097,"frozenset({'rfc', 'lcom'})"
0.7225806451612903,"frozenset({'rfc', 'ce'})"
0.3935483870967742,"frozenset({'cbo', 'max_cc'})"
0.3548387096774194,"frozenset({'ic', 'cbo'})"
0.4129032258064516,"frozenset({'dam', 'cbo'})"
0.44516129032258067,"frozenset({'cam', 'cbo'})"
0.38064516129032255,"frozenset({'lcom3', 'cbo'})"
0.38064516129032255,"frozenset({'npm', 'cbo'})"
0.4,"frozenset({'ca', 'cbo'})"
0.3225806451612903,"frozenset({'cbo', 'dit'})"
0.3870967741935484,"frozenset({'cbm', 'cbo'})"
0.41935483870967744,"frozenset({'cbo', 'amc'})"
0.4645161290322581,"frozenset({'loc', 'cbo'})"
0.432258064516129,"frozenset({'lcom', 'cbo'})"
0.5870967741935483,"frozenset({'cbo', 'ce'})"
0.3096774193548387,"frozenset({'ic', 'max_cc'})"
0.33548387096774196,"frozenset({'dam', 'max_cc'})"
0.3935483870967742,"frozenset({'cam', 'max_cc'})"
0.3741935483870968,"frozenset({'lcom3', 'max_cc'})"
0.3548387096774194,"frozenset({'npm', 'max_cc'})"
0.36129032258064514,"frozenset({'ca', 'max_cc'})"
0.3096774193548387,"frozenset({'dit', 'max_cc'})"
0.4,"frozenset({'cbm', 'max_cc'})"
0.36129032258064514,"frozenset({'amc', 'max_cc'})"
0.3935483870967742,"frozenset({'loc', 'max_cc'})"
0.38064516129032255,"frozenset({'lcom', 'max_cc'})"
0.5032258064516129,"frozenset({'max_cc', 'ce'})"
0.34838709677419355,"frozenset({'ic', 'cam'})"
0.3161290322580645,"frozenset({'lcom3', 'ic'})"
0.3032258064516129,"frozenset({'npm', 'ic'})"
0.3225806451612903,"frozenset({'ca', 'ic'})"
0.3419354838709677,"frozenset({'cbm', 'ic'})"
0.3225806451612903,"frozenset({'ic', 'amc'})"
0.4064516129032258,"frozenset({'ic', 'loc'})"
0.34838709677419355,"frozenset({'ic', 'lcom'})"
0.45161290322580644,"frozenset({'ic', 'ce'})"
0.38064516129032255,"frozenset({'dam', 'cam'})"
0.32903225806451614,"frozenset({'lcom3', 'dam'})"
0.3032258064516129,"frozenset({'npm', 'dam'})"
0.36129032258064514,"frozenset({'ca', 'dam'})"
0.36774193548387096,"frozenset({'cbm', 'dam'})"
0.34838709677419355,"frozenset({'dam', 'amc'})"
0.4258064516129032,"frozenset({'dam', 'loc'})"
0.3548387096774194,"frozenset({'dam', 'lcom'})"
0.4774193548387097,"frozenset({'dam', 'ce'})"
0.432258064516129,"frozenset({'lcom3', 'cam'})"
0.36774193548387096,"frozenset({'npm', 'cam'})"
0.432258064516129,"frozenset({'ca', 'cam'})"
0.38064516129032255,"frozenset({'cam', 'dit'})"
0.3741935483870968,"frozenset({'cbm', 'cam'})"
0.45806451612903226,"frozenset({'cam', 'amc'})"
0.4838709677419355,"frozenset({'cam', 'loc'})"
0.4,"frozenset({'lcom', 'cam'})"
0.5612903225806452,"frozenset({'cam', 'ce'})"
0.4,"frozenset({'lcom3', 'npm'})"
0.4064516129032258,"frozenset({'lcom3', 'ca'})"
0.3096774193548387,"frozenset({'lcom3', 'dit'})"
0.3419354838709677,"frozenset({'cbm', 'lcom3'})"
0.38064516129032255,"frozenset({'lcom3', 'amc'})"
0.4064516129032258,"frozenset({'lcom3', 'loc'})"
0.38064516129032255,"frozenset({'lcom3', 'lcom'})"
0.47096774193548385,"frozenset({'lcom3', 'ce'})"
0.3741935483870968,"frozenset({'npm', 'ca'})"
0.36774193548387096,"frozenset({'npm', 'amc'})"
0.3419354838709677,"frozenset({'npm', 'loc'})"
0.36774193548387096,"frozenset({'npm', 'lcom'})"
0.43870967741935485,"frozenset({'npm', 'ce'})"
0.33548387096774196,"frozenset({'ca', 'dit'})"
0.36129032258064514,"frozenset({'cbm', 'ca'})"
0.3870967741935484,"frozenset({'ca', 'amc'})"
0.43870967741935485,"frozenset({'ca', 'loc'})"
0.3935483870967742,"frozenset({'ca', 'lcom'})"
0.5161290322580645,"frozenset({'ca', 'ce'})"
0.33548387096774196,"frozenset({'cbm', 'dit'})"
0.34838709677419355,"frozenset({'loc', 'dit'})"
0.3161290322580645,"frozenset({'lcom', 'dit'})"
0.4129032258064516,"frozenset({'dit', 'ce'})"
0.3419354838709677,"frozenset({'cbm', 'amc'})"
0.41935483870967744,"frozenset({'cbm', 'loc'})"
0.36129032258064514,"frozenset({'cbm', 'lcom'})"
0.49032258064516127,"frozenset({'cbm', 'ce'})"
0.4064516129032258,"frozenset({'loc', 'amc'})"
0.38064516129032255,"frozenset({'lcom', 'amc'})"
0.5032258064516129,"frozenset({'amc', 'ce'})"
0.3935483870967742,"frozenset({'lcom', 'loc'})"
0.5419354838709678,"frozenset({'loc', 'ce'})"
0.5161290322580645,"frozenset({'lcom', 'ce'})"
0.3096774193548387,"frozenset({'avg_cc', 'rfc', 'noc'})"
0.3096774193548387,"frozenset({'avg_cc', 'noc', 'ce'})"
0.32903225806451614,"frozenset({'avg_cc', 'rfc', 'mfa'})"
0.34838709677419355,"frozenset({'avg_cc', 'rfc', 'cbo'})"
0.3225806451612903,"frozenset({'avg_cc', 'dam', 'rfc'})"
0.3096774193548387,"frozenset({'avg_cc', 'rfc', 'cam'})"
0.32903225806451614,"frozenset({'avg_cc', 'lcom3', 'rfc'})"
0.3161290322580645,"frozenset({'avg_cc', 'rfc', 'loc'})"
0.3161290322580645,"frozenset({'avg_cc', 'rfc', 'lcom'})"
0.36774193548387096,"frozenset({'avg_cc', 'rfc', 'ce'})"
0.3032258064516129,"frozenset({'avg_cc', 'dam', 'cbo'})"
0.3032258064516129,"frozenset({'avg_cc', 'lcom3', 'cbo'})"
0.3096774193548387,"frozenset({'avg_cc', 'loc', 'cbo'})"
0.38064516129032255,"frozenset({'avg_cc', 'cbo', 'ce'})"
0.3225806451612903,"frozenset({'avg_cc', 'max_cc', 'ce'})"
0.3096774193548387,"frozenset({'avg_cc', 'dam', 'ce'})"
0.3032258064516129,"frozenset({'avg_cc', 'lcom3', 'cam'})"
0.3032258064516129,"frozenset({'avg_cc', 'cam', 'loc'})"
0.3225806451612903,"frozenset({'avg_cc', 'cam', 'ce'})"
0.3032258064516129,"frozenset({'avg_cc', 'lcom3', 'npm'})"
0.32903225806451614,"frozenset({'avg_cc', 'lcom3', 'ce'})"
0.3096774193548387,"frozenset({'avg_cc', 'npm', 'ce'})"
0.3161290322580645,"frozenset({'avg_cc', 'ca', 'ce'})"
0.3032258064516129,"frozenset({'avg_cc', 'loc', 'ce'})"
0.3161290322580645,"frozenset({'avg_cc', 'lcom', 'ce'})"
0.3032258064516129,"frozenset({'moa', 'rfc', 'noc'})"
0.3161290322580645,"frozenset({'moa', 'noc', 'ce'})"
0.3096774193548387,"frozenset({'moa', 'rfc', 'mfa'})"
0.3032258064516129,"frozenset({'mfa', 'moa', 'ce'})"
0.33548387096774196,"frozenset({'moa', 'rfc', 'cbo'})"
0.32903225806451614,"frozenset({'moa', 'rfc', 'cam'})"
0.3032258064516129,"frozenset({'moa', 'rfc', 'amc'})"
0.3419354838709677,"frozenset({'moa', 'rfc', 'loc'})"
0.38064516129032255,"frozenset({'moa', 'rfc', 'ce'})"
0.3161290322580645,"frozenset({'moa', 'cam', 'cbo'})"
0.3161290322580645,"frozenset({'moa', 'loc', 'cbo'})"
0.3096774193548387,"frozenset({'moa', 'lcom', 'cbo'})"
0.36129032258064514,"frozenset({'moa', 'cbo', 'ce'})"
0.3032258064516129,"frozenset({'moa', 'max_cc', 'ce'})"
0.3032258064516129,"frozenset({'moa', 'lcom3', 'cam'})"
0.32903225806451614,"frozenset({'moa', 'cam', 'loc'})"
0.36774193548387096,"frozenset({'moa', 'cam', 'ce'})"
0.32903225806451614,"frozenset({'moa', 'lcom3', 'ce'})"
0.3161290322580645,"frozenset({'moa', 'ca', 'ce'})"
0.3096774193548387,"frozenset({'cbm', 'moa', 'ce'})"
0.32903225806451614,"frozenset({'moa', 'amc', 'ce'})"
0.3419354838709677,"frozenset({'moa', 'loc', 'ce'})"
0.32903225806451614,"frozenset({'moa', 'lcom', 'ce'})"
0.36774193548387096,"frozenset({'rfc', 'noc', 'mfa'})"
0.3161290322580645,"frozenset({'noc', 'loc', 'mfa'})"
0.32903225806451614,"frozenset({'lcom', 'noc', 'mfa'})"
0.3741935483870968,"frozenset({'mfa', 'noc', 'ce'})"
0.36774193548387096,"frozenset({'rfc', 'noc', 'cbo'})"
0.3161290322580645,"frozenset({'rfc', 'noc', 'max_cc'})"
0.3032258064516129,"frozenset({'dam', 'rfc', 'noc'})"
0.3419354838709677,"frozenset({'noc', 'rfc', 'cam'})"
0.3032258064516129,"frozenset({'lcom3', 'rfc', 'noc'})"
0.3225806451612903,"frozenset({'ca', 'rfc', 'noc'})"
0.3419354838709677,"frozenset({'cbm', 'rfc', 'noc'})"
0.3032258064516129,"frozenset({'rfc', 'noc', 'amc'})"
0.3419354838709677,"frozenset({'noc', 'rfc', 'loc'})"
0.36129032258064514,"frozenset({'rfc', 'lcom', 'noc'})"
0.45161290322580644,"frozenset({'rfc', 'noc', 'ce'})"
0.3096774193548387,"frozenset({'noc', 'cbo', 'max_cc'})"
0.3096774193548387,"frozenset({'noc', 'cam', 'cbo'})"
0.3032258064516129,"frozenset({'ca', 'noc', 'cbo'})"
0.3032258064516129,"frozenset({'cbm', 'noc', 'cbo'})"
0.3225806451612903,"frozenset({'noc', 'loc', 'cbo'})"
0.3225806451612903,"frozenset({'lcom', 'noc', 'cbo'})"
0.4,"frozenset({'noc', 'cbo', 'ce'})"
0.32903225806451614,"frozenset({'max_cc', 'noc', 'ce'})"
0.32903225806451614,"frozenset({'dam', 'noc', 'ce'})"
0.36774193548387096,"frozenset({'noc', 'cam', 'ce'})"
0.3096774193548387,"frozenset({'lcom3', 'noc', 'ce'})"
0.33548387096774196,"frozenset({'ca', 'noc', 'ce'})"
0.3548387096774194,"frozenset({'cbm', 'noc', 'ce'})"
0.3096774193548387,"frozenset({'noc', 'amc', 'ce'})"
0.36774193548387096,"frozenset({'noc', 'loc', 'ce'})"
0.38064516129032255,"frozenset({'lcom', 'noc', 'ce'})"
0.36129032258064514,"frozenset({'rfc', 'cbo', 'mfa'})"
0.36774193548387096,"frozenset({'rfc', 'max_cc', 'mfa'})"
0.4,"frozenset({'ic', 'rfc', 'mfa'})"
0.3870967741935484,"frozenset({'dam', 'rfc', 'mfa'})"
0.3741935483870968,"frozenset({'rfc', 'cam', 'mfa'})"
0.34838709677419355,"frozenset({'lcom3', 'rfc', 'mfa'})"
0.3225806451612903,"frozenset({'npm', 'rfc', 'mfa'})"
0.36774193548387096,"frozenset({'ca', 'rfc', 'mfa'})"
0.36774193548387096,"frozenset({'cbm', 'rfc', 'mfa'})"
0.36129032258064514,"frozenset({'rfc', 'amc', 'mfa'})"
0.4258064516129032,"frozenset({'rfc', 'loc', 'mfa'})"
0.4,"frozenset({'rfc', 'lcom', 'mfa'})"
0.5225806451612903,"frozenset({'mfa', 'rfc', 'ce'})"
0.3032258064516129,"frozenset({'ic', 'cbo', 'mfa'})"
0.3225806451612903,"frozenset({'dam', 'cbo', 'mfa'})"
0.3419354838709677,"frozenset({'loc', 'cbo', 'mfa'})"
0.33548387096774196,"frozenset({'lcom', 'cbo', 'mfa'})"
0.36774193548387096,"frozenset({'mfa', 'cbo', 'ce'})"
0.3225806451612903,"frozenset({'cbm', 'max_cc', 'mfa'})"
0.3161290322580645,"frozenset({'max_cc', 'loc', 'mfa'})"
0.3096774193548387,"frozenset({'lcom', 'max_cc', 'mfa'})"
0.38064516129032255,"frozenset({'mfa', 'max_cc', 'ce'})"
0.36129032258064514,"frozenset({'ic', 'loc', 'mfa'})"
0.3096774193548387,"frozenset({'ic', 'lcom', 'mfa'})"
0.38064516129032255,"frozenset({'mfa', 'ic', 'ce'})"
0.3161290322580645,"frozenset({'dam', 'cam', 'mfa'})"
0.3225806451612903,"frozenset({'ca', 'dam', 'mfa'})"
0.3741935483870968,"frozenset({'dam', 'loc', 'mfa'})"
0.3096774193548387,"frozenset({'dam', 'lcom', 'mfa'})"
0.38064516129032255,"frozenset({'mfa', 'dam', 'ce'})"
0.3225806451612903,"frozenset({'lcom3', 'cam', 'mfa'})"
0.3225806451612903,"frozenset({'ca', 'cam', 'mfa'})"
0.3032258064516129,"frozenset({'cbm', 'cam', 'mfa'})"
0.3225806451612903,"frozenset({'cam', 'amc', 'mfa'})"
0.36774193548387096,"frozenset({'cam', 'loc', 'mfa'})"
0.3096774193548387,"frozenset({'lcom', 'cam', 'mfa'})"
0.3741935483870968,"frozenset({'mfa', 'cam', 'ce'})"
0.33548387096774196,"frozenset({'lcom3', 'loc', 'mfa'})"
0.3032258064516129,"frozenset({'lcom3', 'lcom', 'mfa'})"
0.3419354838709677,"frozenset({'mfa', 'lcom3', 'ce'})"
0.3032258064516129,"frozenset({'mfa', 'npm', 'ce'})"
0.3096774193548387,"frozenset({'ca', 'amc', 'mfa'})"
