support,itemsets
0.4967741935483871,frozenset({'avg_cc'})
0.3935483870967742,frozenset({'moa'})
0.41935483870967744,frozenset({'noc'})
0.5806451612903226,frozenset({'mfa'})
0.7677419354838709,frozenset({'rfc'})
0.6580645161290323,frozenset({'cbo'})
0.4645161290322581,frozenset({'max_cc'})
0.4258064516129032,frozenset({'ic'})
0.5419354838709678,frozenset({'dam'})
0.6451612903225806,frozenset({'cam'})
0.567741935483871,frozenset({'lcom3'})
0.4064516129032258,frozenset({'npm'})
0.5225806451612903,frozenset({'ca'})
0.5419354838709678,frozenset({'dit'})
0.45161290322580644,frozenset({'cbm'})
0.5161290322580645,frozenset({'amc'})
0.535483870967742,frozenset({'loc'})
0.5032258064516129,frozenset({'lcom'})
0.8516129032258064,frozenset({'ce'})
0.3225806451612903,"frozenset({'avg_cc', 'noc'})"
0.36129032258064514,"frozenset({'avg_cc', 'mfa'})"
0.3870967741935484,"frozenset({'avg_cc', 'rfc'})"
0.36129032258064514,"frozenset({'avg_cc', 'cbo'})"
0.3032258064516129,"frozenset({'avg_cc', 'max_cc'})"
0.3225806451612903,"frozenset({'avg_cc', 'dam'})"
0.3419354838709677,"frozenset({'avg_cc', 'cam'})"
0.32903225806451614,"frozenset({'avg_cc', 'lcom3'})"
0.3225806451612903,"frozenset({'avg_cc', 'ca'})"
0.3096774193548387,"frozenset({'avg_cc', 'dit'})"
0.33548387096774196,"frozenset({'avg_cc', 'amc'})"
0.45161290322580644,"frozenset({'avg_cc', 'ce'})"
0.3548387096774194,"frozenset({'moa', 'rfc'})"
0.36129032258064514,"frozenset({'moa', 'ce'})"
0.3419354838709677,"frozenset({'rfc', 'noc'})"
0.32903225806451614,"frozenset({'noc', 'cbo'})"
0.32903225806451614,"frozenset({'noc', 'cam'})"
0.3161290322580645,"frozenset({'lcom3', 'noc'})"
0.4064516129032258,"frozenset({'noc', 'ce'})"
0.4838709677419355,"frozenset({'rfc', 'mfa'})"
0.41935483870967744,"frozenset({'cbo', 'mfa'})"
0.3161290322580645,"frozenset({'max_cc', 'mfa'})"
0.3096774193548387,"frozenset({'ic', 'mfa'})"
0.36129032258064514,"frozenset({'dam', 'mfa'})"
0.41935483870967744,"frozenset({'cam', 'mfa'})"
0.36774193548387096,"frozenset({'lcom3', 'mfa'})"
0.3032258064516129,"frozenset({'npm', 'mfa'})"
0.3419354838709677,"frozenset({'ca', 'mfa'})"
0.3548387096774194,"frozenset({'dit', 'mfa'})"
0.3161290322580645,"frozenset({'cbm', 'mfa'})"
0.34838709677419355,"frozenset({'amc', 'mfa'})"
0.36774193548387096,"frozenset({'loc', 'mfa'})"
0.34838709677419355,"frozenset({'lcom', 'mfa'})"
0.5032258064516129,"frozenset({'mfa', 'ce'})"
0.5161290322580645,"frozenset({'rfc', 'cbo'})"
0.38064516129032255,"frozenset({'rfc', 'max_cc'})"
0.3741935483870968,"frozenset({'ic', 'rfc'})"
0.43870967741935485,"frozenset({'dam', 'rfc'})"
0.535483870967742,"frozenset({'rfc', 'cam'})"
