support,itemsets
0.567741935483871,frozenset({'avg_cc'})
0.4774193548387097,frozenset({'moa'})
0.5290322580645161,frozenset({'noc'})
0.6193548387096774,frozenset({'mfa'})
0.5612903225806452,frozenset({'rfc'})
0.47096774193548385,frozenset({'cbo'})
0.43870967741935485,frozenset({'max_cc'})
0.5032258064516129,frozenset({'ic'})
0.6258064516129033,frozenset({'dam'})
0.6967741935483871,frozenset({'cam'})
0.6709677419354839,frozenset({'lcom3'})
0.5483870967741935,frozenset({'npm'})
0.5419354838709678,frozenset({'ca'})
0.8064516129032258,frozenset({'dit'})
0.7225806451612903,frozenset({'cbm'})
0.6903225806451613,frozenset({'amc'})
0.8129032258064516,frozenset({'loc'})
0.4129032258064516,frozenset({'lcom'})
0.535483870967742,frozenset({'ce'})
0.3161290322580645,"frozenset({'avg_cc', 'moa'})"
0.38064516129032255,"frozenset({'avg_cc', 'noc'})"
0.3870967741935484,"frozenset({'avg_cc', 'mfa'})"
0.4,"frozenset({'avg_cc', 'rfc'})"
0.3225806451612903,"frozenset({'avg_cc', 'cbo'})"
0.32903225806451614,"frozenset({'avg_cc', 'ic'})"
0.41935483870967744,"frozenset({'avg_cc', 'dam'})"
0.4258064516129032,"frozenset({'avg_cc', 'cam'})"
0.4645161290322581,"frozenset({'avg_cc', 'lcom3'})"
0.34838709677419355,"frozenset({'avg_cc', 'npm'})"
0.36774193548387096,"frozenset({'avg_cc', 'ca'})"
0.4774193548387097,"frozenset({'avg_cc', 'dit'})"
0.41935483870967744,"frozenset({'avg_cc', 'cbm'})"
0.4258064516129032,"frozenset({'avg_cc', 'amc'})"
0.49032258064516127,"frozenset({'avg_cc', 'loc'})"
0.3870967741935484,"frozenset({'avg_cc', 'ce'})"
0.3419354838709677,"frozenset({'moa', 'noc'})"
0.3225806451612903,"frozenset({'moa', 'mfa'})"
0.3096774193548387,"frozenset({'moa', 'rfc'})"
0.33548387096774196,"frozenset({'moa', 'dam'})"
0.3741935483870968,"frozenset({'moa', 'cam'})"
0.3870967741935484,"frozenset({'moa', 'lcom3'})"
0.33548387096774196,"frozenset({'moa', 'ca'})"
0.41935483870967744,"frozenset({'moa', 'dit'})"
0.34838709677419355,"frozenset({'cbm', 'moa'})"
0.3935483870967742,"frozenset({'moa', 'amc'})"
0.4129032258064516,"frozenset({'moa', 'loc'})"
0.3935483870967742,"frozenset({'noc', 'mfa'})"
0.3419354838709677,"frozenset({'rfc', 'noc'})"
0.32903225806451614,"frozenset({'noc', 'max_cc'})"
0.3096774193548387,"frozenset({'ic', 'noc'})"
0.3870967741935484,"frozenset({'dam', 'noc'})"
0.44516129032258067,"frozenset({'noc', 'cam'})"
0.4,"frozenset({'lcom3', 'noc'})"
0.3741935483870968,"frozenset({'ca', 'noc'})"
0.47096774193548385,"frozenset({'noc', 'dit'})"
0.4129032258064516,"frozenset({'cbm', 'noc'})"
0.45161290322580644,"frozenset({'noc', 'amc'})"
0.45806451612903226,"frozenset({'noc', 'loc'})"
0.32903225806451614,"frozenset({'lcom', 'noc'})"
0.3741935483870968,"frozenset({'noc', 'ce'})"
0.3935483870967742,"frozenset({'rfc', 'mfa'})"
0.3225806451612903,"frozenset({'cbo', 'mfa'})"
0.3741935483870968,"frozenset({'max_cc', 'mfa'})"
0.3741935483870968,"frozenset({'ic', 'mfa'})"
0.45161290322580644,"frozenset({'dam', 'mfa'})"
0.47096774193548385,"frozenset({'cam', 'mfa'})"
0.4774193548387097,"frozenset({'lcom3', 'mfa'})"
0.36129032258064514,"frozenset({'npm', 'mfa'})"
0.36774193548387096,"frozenset({'ca', 'mfa'})"
0.5290322580645161,"frozenset({'dit', 'mfa'})"
0.45161290322580644,"frozenset({'cbm', 'mfa'})"
0.45806451612903226,"frozenset({'amc', 'mfa'})"
0.4967741935483871,"frozenset({'loc', 'mfa'})"
0.3419354838709677,"frozenset({'lcom', 'mfa'})"
0.3741935483870968,"frozenset({'mfa', 'ce'})"
0.3225806451612903,"frozenset({'rfc', 'cbo'})"
0.3161290322580645,"frozenset({'rfc', 'max_cc'})"
0.34838709677419355,"frozenset({'ic', 'rfc'})"
0.4258064516129032,"frozenset({'dam', 'rfc'})"
0.4258064516129032,"frozenset({'rfc', 'cam'})"
0.4129032258064516,"frozenset({'lcom3', 'rfc'})"
0.3870967741935484,"frozenset({'npm', 'rfc'})"
0.36774193548387096,"frozenset({'ca', 'rfc'})"
0.4838709677419355,"frozenset({'rfc', 'dit'})"
0.43870967741935485,"frozenset({'cbm', 'rfc'})"
0.41935483870967744,"frozenset({'rfc', 'amc'})"
0.4774193548387097,"frozenset({'rfc', 'loc'})"
0.36129032258064514,"frozenset({'rfc', 'ce'})"
0.32903225806451614,"frozenset({'dam', 'cbo'})"
0.34838709677419355,"frozenset({'cam', 'cbo'})"
0.34838709677419355,"frozenset({'lcom3', 'cbo'})"
0.4064516129032258,"frozenset({'cbo', 'dit'})"
0.36129032258064514,"frozenset({'cbm', 'cbo'})"
0.36129032258064514,"frozenset({'cbo', 'amc'})"
0.4,"frozenset({'loc', 'cbo'})"
0.3419354838709677,"frozenset({'dam', 'max_cc'})"
0.3548387096774194,"frozenset({'cam', 'max_cc'})"
0.3419354838709677,"frozenset({'lcom3', 'max_cc'})"
0.38064516129032255,"frozenset({'dit', 'max_cc'})"
0.34838709677419355,"frozenset({'cbm', 'max_cc'})"
0.3548387096774194,"frozenset({'amc', 'max_cc'})"
0.4,"frozenset({'loc', 'max_cc'})"
0.3161290322580645,"frozenset({'max_cc', 'ce'})"
0.38064516129032255,"frozenset({'ic', 'dam'})"
0.3548387096774194,"frozenset({'ic', 'cam'})"
0.3870967741935484,"frozenset({'lcom3', 'ic'})"
0.45806451612903226,"frozenset({'ic', 'dit'})"
0.3741935483870968,"frozenset({'cbm', 'ic'})"
0.38064516129032255,"frozenset({'ic', 'amc'})"
0.43870967741935485,"frozenset({'ic', 'loc'})"
0.44516129032258067,"frozenset({'dam', 'cam'})"
0.43870967741935485,"frozenset({'lcom3', 'dam'})"
0.36129032258064514,"frozenset({'npm', 'dam'})"
0.41935483870967744,"frozenset({'ca', 'dam'})"
0.535483870967742,"frozenset({'dam', 'dit'})"
0.5032258064516129,"frozenset({'cbm', 'dam'})"
0.4774193548387097,"frozenset({'dam', 'amc'})"
0.5290322580645161,"frozenset({'dam', 'loc'})"
0.32903225806451614,"frozenset({'dam', 'lcom'})"
0.38064516129032255,"frozenset({'dam', 'ce'})"
0.5161290322580645,"frozenset({'lcom3', 'cam'})"
0.4064516129032258,"frozenset({'npm', 'cam'})"
0.4258064516129032,"frozenset({'ca', 'cam'})"
0.6129032258064516,"frozenset({'cam', 'dit'})"
0.5290322580645161,"frozenset({'cbm', 'cam'})"
0.5419354838709678,"frozenset({'cam', 'amc'})"
0.5483870967741935,"frozenset({'cam', 'loc'})"
0.34838709677419355,"frozenset({'lcom', 'cam'})"
0.4064516129032258,"frozenset({'cam', 'ce'})"
0.3741935483870968,"frozenset({'lcom3', 'npm'})"
0.4,"frozenset({'lcom3', 'ca'})"
0.5741935483870968,"frozenset({'lcom3', 'dit'})"
0.4838709677419355,"frozenset({'cbm', 'lcom3'})"
0.47096774193548385,"frozenset({'lcom3', 'amc'})"
0.5483870967741935,"frozenset({'lcom3', 'loc'})"
0.3161290322580645,"frozenset({'lcom3', 'lcom'})"
0.38064516129032255,"frozenset({'lcom3', 'ce'})"
0.34838709677419355,"frozenset({'npm', 'ca'})"
0.4645161290322581,"frozenset({'npm', 'dit'})"
0.4064516129032258,"frozenset({'cbm', 'npm'})"
0.4064516129032258,"frozenset({'npm', 'amc'})"
0.4774193548387097,"frozenset({'npm', 'loc'})"
0.32903225806451614,"frozenset({'npm', 'ce'})"
0.47096774193548385,"frozenset({'ca', 'dit'})"
0.43870967741935485,"frozenset({'cbm', 'ca'})"
0.45161290322580644,"frozenset({'ca', 'amc'})"
0.44516129032258067,"frozenset({'ca', 'loc'})"
0.3419354838709677,"frozenset({'ca', 'ce'})"
0.567741935483871,"frozenset({'cbm', 'dit'})"
0.5741935483870968,"frozenset({'amc', 'dit'})"
0.6516129032258065,"frozenset({'loc', 'dit'})"
0.3741935483870968,"frozenset({'lcom', 'dit'})"
0.45806451612903226,"frozenset({'dit', 'ce'})"
0.5225806451612903,"frozenset({'cbm', 'amc'})"
0.6064516129032258,"frozenset({'cbm', 'loc'})"
0.4,"frozenset({'cbm', 'ce'})"
0.5225806451612903,"frozenset({'loc', 'amc'})"
0.36129032258064514,"frozenset({'lcom', 'amc'})"
0.3935483870967742,"frozenset({'amc', 'ce'})"
0.38064516129032255,"frozenset({'lcom', 'loc'})"
0.4774193548387097,"frozenset({'loc', 'ce'})"
0.3225806451612903,"frozenset({'avg_cc', 'dam', 'noc'})"
0.3096774193548387,"frozenset({'avg_cc', 'noc', 'cam'})"
0.3161290322580645,"frozenset({'avg_cc', 'lcom3', 'noc'})"
0.3419354838709677,"frozenset({'avg_cc', 'noc', 'dit'})"
0.3032258064516129,"frozenset({'avg_cc', 'noc', 'cbm'})"
0.32903225806451614,"frozenset({'avg_cc', 'noc', 'amc'})"
0.34838709677419355,"frozenset({'avg_cc', 'noc', 'loc'})"
0.32903225806451614,"frozenset({'avg_cc', 'dam', 'mfa'})"
0.3032258064516129,"frozenset({'avg_cc', 'cam', 'mfa'})"
0.3161290322580645,"frozenset({'avg_cc', 'lcom3', 'mfa'})"
0.33548387096774196,"frozenset({'avg_cc', 'dit', 'mfa'})"
0.3096774193548387,"frozenset({'avg_cc', 'cbm', 'mfa'})"
0.3225806451612903,"frozenset({'avg_cc', 'amc', 'mfa'})"
0.3225806451612903,"frozenset({'avg_cc', 'loc', 'mfa'})"
0.3225806451612903,"frozenset({'avg_cc', 'dam', 'rfc'})"
0.3096774193548387,"frozenset({'avg_cc', 'rfc', 'cam'})"
0.3161290322580645,"frozenset({'avg_cc', 'lcom3', 'rfc'})"
0.34838709677419355,"frozenset({'avg_cc', 'rfc', 'dit'})"
0.3225806451612903,"frozenset({'avg_cc', 'rfc', 'cbm'})"
0.3096774193548387,"frozenset({'avg_cc', 'rfc', 'amc'})"
0.3419354838709677,"frozenset({'avg_cc', 'rfc', 'loc'})"
0.3096774193548387,"frozenset({'avg_cc', 'ic', 'dit'})"
0.3225806451612903,"frozenset({'avg_cc', 'dam', 'cam'})"
0.32903225806451614,"frozenset({'avg_cc', 'lcom3', 'dam'})"
0.3225806451612903,"frozenset({'avg_cc', 'ca', 'dam'})"
0.3741935483870968,"frozenset({'avg_cc', 'dam', 'dit'})"
0.3419354838709677,"frozenset({'avg_cc', 'dam', 'cbm'})"
0.33548387096774196,"frozenset({'avg_cc', 'dam', 'amc'})"
0.36774193548387096,"frozenset({'avg_cc', 'dam', 'loc'})"
0.3096774193548387,"frozenset({'avg_cc', 'dam', 'ce'})"
0.3548387096774194,"frozenset({'avg_cc', 'lcom3', 'cam'})"
0.3741935483870968,"frozenset({'avg_cc', 'cam', 'dit'})"
0.3225806451612903,"frozenset({'avg_cc', 'cam', 'cbm'})"
0.34838709677419355,"frozenset({'avg_cc', 'cam', 'amc'})"
0.36129032258064514,"frozenset({'avg_cc', 'cam', 'loc'})"
0.3096774193548387,"frozenset({'avg_cc', 'lcom3', 'ca'})"
0.3870967741935484,"frozenset({'avg_cc', 'lcom3', 'dit'})"
0.3548387096774194,"frozenset({'avg_cc', 'lcom3', 'cbm'})"
0.36129032258064514,"frozenset({'avg_cc', 'lcom3', 'amc'})"
0.3870967741935484,"frozenset({'avg_cc', 'lcom3', 'loc'})"
0.3032258064516129,"frozenset({'avg_cc', 'lcom3', 'ce'})"
0.3032258064516129,"frozenset({'avg_cc', 'npm', 'dit'})"
0.3161290322580645,"frozenset({'avg_cc', 'npm', 'loc'})"
0.3096774193548387,"frozenset({'avg_cc', 'ca', 'dit'})"
0.3225806451612903,"frozenset({'avg_cc', 'ca', 'cbm'})"
0.3096774193548387,"frozenset({'avg_cc', 'ca', 'amc'})"
0.32903225806451614,"frozenset({'avg_cc', 'ca', 'loc'})"
0.3419354838709677,"frozenset({'avg_cc', 'dit', 'cbm'})"
0.36774193548387096,"frozenset({'avg_cc', 'amc', 'dit'})"
0.4129032258064516,"frozenset({'avg_cc', 'loc', 'dit'})"
0.32903225806451614,"frozenset({'avg_cc', 'dit', 'ce'})"
0.33548387096774196,"frozenset({'avg_cc', 'amc', 'cbm'})"
0.3741935483870968,"frozenset({'avg_cc', 'loc', 'cbm'})"
0.3032258064516129,"frozenset({'avg_cc', 'cbm', 'ce'})"
0.36129032258064514,"frozenset({'avg_cc', 'loc', 'amc'})"
0.3741935483870968,"frozenset({'avg_cc', 'loc', 'ce'})"
0.3032258064516129,"frozenset({'moa', 'noc', 'dit'})"
0.3161290322580645,"frozenset({'moa', 'noc', 'amc'})"
0.3096774193548387,"frozenset({'moa', 'noc', 'loc'})"
