support,itemsets
0.36129032258064514,frozenset({'avg_cc'})
0.4064516129032258,frozenset({'moa'})
0.3741935483870968,frozenset({'noc'})
0.4064516129032258,frozenset({'mfa'})
0.4645161290322581,frozenset({'rfc'})
0.3741935483870968,frozenset({'cbo'})
0.36774193548387096,frozenset({'max_cc'})
0.4129032258064516,frozenset({'ic'})
0.5096774193548387,frozenset({'dam'})
0.5483870967741935,frozenset({'cam'})
0.6193548387096774,frozenset({'lcom3'})
0.4,frozenset({'npm'})
0.3548387096774194,frozenset({'ca'})
0.4774193548387097,frozenset({'dit'})
0.5806451612903226,frozenset({'cbm'})
0.5225806451612903,frozenset({'amc'})
0.6,frozenset({'loc'})
0.33548387096774196,frozenset({'lcom'})
0.4258064516129032,frozenset({'ce'})
0.3032258064516129,"frozenset({'moa', 'rfc'})"
0.3096774193548387,"frozenset({'moa', 'cam'})"
0.32903225806451614,"frozenset({'cbm', 'moa'})"
0.3225806451612903,"frozenset({'moa', 'loc'})"
0.3032258064516129,"frozenset({'lcom3', 'mfa'})"
0.3096774193548387,"frozenset({'cbm', 'mfa'})"
0.3225806451612903,"frozenset({'dam', 'rfc'})"
0.3161290322580645,"frozenset({'rfc', 'cam'})"
0.34838709677419355,"frozenset({'cbm', 'rfc'})"
0.32903225806451614,"frozenset({'rfc', 'loc'})"
0.3225806451612903,"frozenset({'cbm', 'cbo'})"
0.3161290322580645,"frozenset({'loc', 'cbo'})"
0.3225806451612903,"frozenset({'ic', 'dam'})"
0.3225806451612903,"frozenset({'lcom3', 'ic'})"
0.3032258064516129,"frozenset({'cbm', 'ic'})"
0.3225806451612903,"frozenset({'ic', 'loc'})"
0.33548387096774196,"frozenset({'dam', 'cam'})"
0.3548387096774194,"frozenset({'lcom3', 'dam'})"
0.3096774193548387,"frozenset({'dam', 'dit'})"
0.3741935483870968,"frozenset({'cbm', 'dam'})"
0.3032258064516129,"frozenset({'dam', 'amc'})"
0.3741935483870968,"frozenset({'dam', 'loc'})"
0.3741935483870968,"frozenset({'lcom3', 'cam'})"
0.38064516129032255,"frozenset({'cbm', 'cam'})"
0.33548387096774196,"frozenset({'cam', 'amc'})"
0.4064516129032258,"frozenset({'cam', 'loc'})"
0.3161290322580645,"frozenset({'cam', 'ce'})"
0.32903225806451614,"frozenset({'lcom3', 'dit'})"
0.3870967741935484,"frozenset({'cbm', 'lcom3'})"
0.33548387096774196,"frozenset({'lcom3', 'amc'})"
0.3419354838709677,"frozenset({'lcom3', 'loc'})"
0.33548387096774196,"frozenset({'lcom3', 'ce'})"
0.34838709677419355,"frozenset({'cbm', 'dit'})"
0.3032258064516129,"frozenset({'loc', 'dit'})"
0.4,"frozenset({'cbm', 'loc'})"
0.3548387096774194,"frozenset({'loc', 'ce'})"
0.3032258064516129,"frozenset({'cbm', 'cam', 'loc'})"
