antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'avg_cc'}),frozenset({'moa'}),0.5548387096774193,0.5290322580645161,0.34838709677419355,0.627906976744186,1.1868973340896198,0.05485952133194588,1.2657258064516128
frozenset({'moa'}),frozenset({'avg_cc'}),0.5290322580645161,0.5548387096774193,0.34838709677419355,0.6585365853658537,1.18689733408962,0.05485952133194588,1.3036866359447006
frozenset({'noc'}),frozenset({'avg_cc'}),0.4967741935483871,0.5548387096774193,0.3161290322580645,0.6363636363636364,1.1469344608879493,0.04049947970863682,1.2241935483870967
frozenset({'avg_cc'}),frozenset({'mfa'}),0.5548387096774193,0.8129032258064516,0.4838709677419355,0.8720930232558141,1.0728128460686601,0.03284079084287206,1.4627565982404707
frozenset({'avg_cc'}),frozenset({'rfc'}),0.5548387096774193,0.6451612903225806,0.3870967741935484,0.6976744186046512,1.0813953488372094,0.029136316337148804,1.173697270471464
frozenset({'rfc'}),frozenset({'avg_cc'}),0.6451612903225806,0.5548387096774193,0.3870967741935484,0.6,1.0813953488372092,0.029136316337148804,1.1129032258064515
frozenset({'max_cc'}),frozenset({'avg_cc'}),0.5096774193548387,0.5548387096774193,0.3096774193548387,0.6075949367088608,1.0950838975566677,0.026888657648283076,1.1344432882414153
frozenset({'avg_cc'}),frozenset({'ic'}),0.5548387096774193,0.5483870967741935,0.36774193548387096,0.6627906976744187,1.2086183310533518,0.06347554630593133,1.3392658509454953
frozenset({'ic'}),frozenset({'avg_cc'}),0.5483870967741935,0.5548387096774193,0.36774193548387096,0.6705882352941177,1.2086183310533518,0.06347554630593133,1.351382488479263
frozenset({'avg_cc'}),frozenset({'dam'}),0.5548387096774193,0.5032258064516129,0.3419354838709677,0.6162790697674418,1.2246571258199166,0.06272632674297607,1.2946236559139785
frozenset({'dam'}),frozenset({'avg_cc'}),0.5032258064516129,0.5548387096774193,0.3419354838709677,0.6794871794871795,1.2246571258199166,0.06272632674297607,1.3889032258064518
frozenset({'avg_cc'}),frozenset({'cam'}),0.5548387096774193,0.7225806451612903,0.43870967741935485,0.7906976744186047,1.0942691029900333,0.03779396462018736,1.3254480286738357
frozenset({'cam'}),frozenset({'avg_cc'}),0.7225806451612903,0.5548387096774193,0.43870967741935485,0.6071428571428572,1.0942691029900333,0.03779396462018736,1.1331378299120236
frozenset({'avg_cc'}),frozenset({'lcom3'}),0.5548387096774193,0.8451612903225807,0.535483870967742,0.9651162790697676,1.1419314752352212,0.06655567117585853,4.438709677419374
frozenset({'lcom3'}),frozenset({'avg_cc'}),0.8451612903225807,0.5548387096774193,0.535483870967742,0.633587786259542,1.1419314752352212,0.06655567117585853,1.2149193548387098
frozenset({'avg_cc'}),frozenset({'npm'}),0.5548387096774193,0.864516129032258,0.4838709677419355,0.8720930232558141,1.008764317945158,0.004203954214360095,1.0592375366568925
frozenset({'ca'}),frozenset({'avg_cc'}),0.4838709677419355,0.5548387096774193,0.32903225806451614,0.68,1.2255813953488373,0.060561914672216444,1.3911290322580647
frozenset({'avg_cc'}),frozenset({'dit'}),0.5548387096774193,0.5870967741935483,0.3741935483870968,0.6744186046511629,1.1487349859442886,0.04844953173777322,1.268202764976959
frozenset({'dit'}),frozenset({'avg_cc'}),0.5870967741935483,0.5548387096774193,0.3741935483870968,0.6373626373626374,1.1487349859442884,0.04844953173777322,1.2275659824046923
frozenset({'cbm'}),frozenset({'avg_cc'}),0.4967741935483871,0.5548387096774193,0.3032258064516129,0.6103896103896104,1.100120809423135,0.02759625390218523,1.1425806451612903
frozenset({'avg_cc'}),frozenset({'amc'}),0.5548387096774193,0.7096774193548387,0.4258064516129032,0.7674418604651163,1.0813953488372092,0.032049947970863635,1.2483870967741935
frozenset({'amc'}),frozenset({'avg_cc'}),0.7096774193548387,0.5548387096774193,0.4258064516129032,0.6,1.0813953488372092,0.032049947970863635,1.1129032258064515
frozenset({'avg_cc'}),frozenset({'loc'}),0.5548387096774193,0.6193548387096774,0.34838709677419355,0.627906976744186,1.0138081395348837,0.004745057232049932,1.022983870967742
frozenset({'lcom'}),frozenset({'avg_cc'}),0.5290322580645161,0.5548387096774193,0.3225806451612903,0.6097560975609756,1.0989790130459445,0.029053069719042646,1.140725806451613
frozenset({'avg_cc'}),frozenset({'ce'}),0.5548387096774193,0.6,0.3935483870967742,0.7093023255813954,1.182170542635659,0.0606451612903226,1.3760000000000003
frozenset({'ce'}),frozenset({'avg_cc'}),0.6,0.5548387096774193,0.3935483870967742,0.6559139784946237,1.182170542635659,0.0606451612903226,1.2937500000000004
frozenset({'noc'}),frozenset({'moa'}),0.4967741935483871,0.5290322580645161,0.3032258064516129,0.6103896103896104,1.1537852391510928,0.04041623309053066,1.2088172043010752
frozenset({'moa'}),frozenset({'mfa'}),0.5290322580645161,0.8129032258064516,0.44516129032258067,0.8414634146341463,1.0351335656213705,0.015109261186264322,1.1801488833746898
frozenset({'moa'}),frozenset({'rfc'}),0.5290322580645161,0.6451612903225806,0.34838709677419355,0.6585365853658537,1.0207317073170732,0.007075962539021874,1.0391705069124426
frozenset({'moa'}),frozenset({'cbo'}),0.5290322580645161,0.5870967741935483,0.3741935483870968,0.7073170731707317,1.2047708389171805,0.06360041623309054,1.410752688172043
frozenset({'cbo'}),frozenset({'moa'}),0.5870967741935483,0.5290322580645161,0.3741935483870968,0.6373626373626374,1.2047708389171805,0.06360041623309054,1.298729227761486
frozenset({'moa'}),frozenset({'max_cc'}),0.5290322580645161,0.5096774193548387,0.32903225806451614,0.6219512195121951,1.2202840382834208,0.0593964620187305,1.2969823100936526
frozenset({'max_cc'}),frozenset({'moa'}),0.5096774193548387,0.5290322580645161,0.32903225806451614,0.6455696202531646,1.2202840382834208,0.0593964620187305,1.3288018433179722
frozenset({'moa'}),frozenset({'ic'}),0.5290322580645161,0.5483870967741935,0.3870967741935484,0.7317073170731707,1.3342898134863703,0.09698231009365244,1.683284457478006
frozenset({'ic'}),frozenset({'moa'}),0.5483870967741935,0.5290322580645161,0.3870967741935484,0.7058823529411765,1.33428981348637,0.09698231009365244,1.6012903225806454
frozenset({'moa'}),frozenset({'dam'}),0.5290322580645161,0.5032258064516129,0.36129032258064514,0.6829268292682926,1.357098186366479,0.09506763787721123,1.5667493796526053
frozenset({'dam'}),frozenset({'moa'}),0.5032258064516129,0.5290322580645161,0.36129032258064514,0.717948717948718,1.357098186366479,0.09506763787721123,1.6697947214076245
frozenset({'moa'}),frozenset({'cam'}),0.5290322580645161,0.7225806451612903,0.41935483870967744,0.7926829268292683,1.0970165505226481,0.03708636836628515,1.338140417457306
frozenset({'moa'}),frozenset({'lcom3'}),0.5290322580645161,0.8451612903225807,0.45161290322580644,0.8536585365853658,1.0100539936697077,0.004495317377731456,1.0580645161290319
frozenset({'moa'}),frozenset({'npm'}),0.5290322580645161,0.864516129032258,0.44516129032258067,0.8414634146341463,0.9733345467783036,-0.012195629552549436,0.8545905707196029
frozenset({'ca'}),frozenset({'moa'}),0.4838709677419355,0.5290322580645161,0.3161290322580645,0.6533333333333332,1.2349593495934956,0.060145681581685706,1.3585607940446645
frozenset({'moa'}),frozenset({'dit'}),0.5290322580645161,0.5870967741935483,0.34838709677419355,0.6585365853658537,1.1216831948539268,0.037793964620187304,1.2092165898617515
frozenset({'cbm'}),frozenset({'moa'}),0.4967741935483871,0.5290322580645161,0.3161290322580645,0.6363636363636364,1.2028824833702882,0.05331945889698225,1.2951612903225806
frozenset({'moa'}),frozenset({'amc'}),0.5290322580645161,0.7096774193548387,0.3870967741935484,0.7317073170731707,1.0310421286031042,0.011654526534859488,1.0821114369501463
frozenset({'moa'}),frozenset({'loc'}),0.5290322580645161,0.6193548387096774,0.3935483870967742,0.7439024390243902,1.2010924796747966,0.06588969823100932,1.4863287250384023
frozenset({'loc'}),frozenset({'moa'}),0.6193548387096774,0.5290322580645161,0.3935483870967742,0.6354166666666666,1.2010924796747966,0.06588969823100932,1.2917972350230413
frozenset({'moa'}),frozenset({'lcom'}),0.5290322580645161,0.5290322580645161,0.32903225806451614,0.6219512195121951,1.175639500297442,0.04915712799167532,1.2457856399583767
frozenset({'lcom'}),frozenset({'moa'}),0.5290322580645161,0.5290322580645161,0.32903225806451614,0.6219512195121951,1.175639500297442,0.04915712799167532,1.2457856399583767
frozenset({'moa'}),frozenset({'ce'}),0.5290322580645161,0.6,0.3870967741935484,0.7317073170731707,1.2195121951219512,0.06967741935483868,1.490909090909091
