support,itemsets
0.432258064516129,frozenset({'dam'})
0.4967741935483871,frozenset({'avg_cc'})
0.8387096774193549,frozenset({'cbo'})
0.4064516129032258,frozenset({'lcom'})
0.4,frozenset({'max_cc'})
0.5225806451612903,frozenset({'lcom3'})
0.41935483870967744,frozenset({'noc'})
0.5935483870967742,frozenset({'ce'})
0.4838709677419355,frozenset({'amc'})
0.432258064516129,frozenset({'rfc'})
0.4645161290322581,frozenset({'npm'})
0.4258064516129032,frozenset({'ic'})
0.49032258064516127,frozenset({'dit'})
0.6838709677419355,frozenset({'cam'})
0.5161290322580645,frozenset({'mfa'})
0.49032258064516127,frozenset({'ca'})
0.4,frozenset({'loc'})
0.432258064516129,"frozenset({'avg_cc', 'cbo'})"
0.4129032258064516,"frozenset({'avg_cc', 'cam'})"
0.45806451612903226,"frozenset({'lcom3', 'cbo'})"
0.45161290322580644,"frozenset({'ce', 'cbo'})"
0.43870967741935485,"frozenset({'amc', 'cbo'})"
0.432258064516129,"frozenset({'npm', 'cbo'})"
0.43870967741935485,"frozenset({'dit', 'cbo'})"
0.6129032258064516,"frozenset({'cam', 'cbo'})"
0.4258064516129032,"frozenset({'mfa', 'cbo'})"
0.41935483870967744,"frozenset({'cbo', 'ca'})"
0.4064516129032258,"frozenset({'lcom3', 'cam'})"
0.4258064516129032,"frozenset({'ce', 'cam'})"
0.4129032258064516,"frozenset({'mfa', 'ce'})"
0.4064516129032258,"frozenset({'mfa', 'cam'})"
0.4064516129032258,"frozenset({'cam', 'ca'})"
