support,itemsets
0.45161290322580644,frozenset({'dam'})
0.44516129032258067,frozenset({'avg_cc'})
0.8258064516129032,frozenset({'cbo'})
0.45806451612903226,frozenset({'max_cc'})
0.5096774193548387,frozenset({'lcom3'})
0.6258064516129033,frozenset({'ce'})
0.5096774193548387,frozenset({'amc'})
0.41935483870967744,frozenset({'rfc'})
0.4774193548387097,frozenset({'npm'})
0.41935483870967744,frozenset({'cbm'})
0.432258064516129,frozenset({'ic'})
0.4258064516129032,frozenset({'moa'})
0.6,frozenset({'dit'})
0.6193548387096774,frozenset({'cam'})
0.43870967741935485,frozenset({'mfa'})
0.5032258064516129,frozenset({'ca'})
0.432258064516129,frozenset({'loc'})
0.41935483870967744,"frozenset({'dam', 'cbo'})"
0.43870967741935485,"frozenset({'avg_cc', 'cbo'})"
0.4129032258064516,"frozenset({'cbo', 'max_cc'})"
0.43870967741935485,"frozenset({'lcom3', 'cbo'})"
0.47096774193548385,"frozenset({'ce', 'cbo'})"
0.4967741935483871,"frozenset({'amc', 'cbo'})"
0.45806451612903226,"frozenset({'npm', 'cbo'})"
0.4129032258064516,"frozenset({'cbm', 'cbo'})"
0.4129032258064516,"frozenset({'moa', 'cbo'})"
0.5290322580645161,"frozenset({'dit', 'cbo'})"
0.5548387096774193,"frozenset({'cam', 'cbo'})"
0.4,"frozenset({'mfa', 'cbo'})"
0.47096774193548385,"frozenset({'cbo', 'ca'})"
0.4,"frozenset({'ce', 'lcom3'})"
0.4,"frozenset({'lcom3', 'cam'})"
0.432258064516129,"frozenset({'ce', 'dit'})"
0.45806451612903226,"frozenset({'ce', 'cam'})"
0.4645161290322581,"frozenset({'dit', 'cam'})"
0.4,"frozenset({'ce', 'cam', 'cbo'})"
0.4258064516129032,"frozenset({'dit', 'cbo', 'cam'})"
