support,itemsets
0.3419354838709677,frozenset({'NBD_sum'})
0.3935483870967742,frozenset({'VG_max'})
0.3096774193548387,frozenset({'FOUT_avg'})
0.5161290322580645,frozenset({'VG_sum'})
0.3161290322580645,frozenset({'ACD'})
0.32903225806451614,frozenset({'NSM_max'})
0.4064516129032258,frozenset({'TLOC'})
0.41935483870967744,frozenset({'PAR_max'})
0.3096774193548387,frozenset({'MLOC_max'})
0.41935483870967744,frozenset({'NBD_max'})
0.8516129032258064,frozenset({'pre'})
0.5483870967741935,frozenset({'MLOC_sum'})
0.4064516129032258,frozenset({'VG_avg'})
0.33548387096774196,"frozenset({'VG_max', 'pre'})"
0.432258064516129,"frozenset({'pre', 'VG_sum'})"
0.33548387096774196,"frozenset({'pre', 'TLOC'})"
0.36774193548387096,"frozenset({'PAR_max', 'pre'})"
0.32903225806451614,"frozenset({'pre', 'NBD_max'})"
0.4774193548387097,"frozenset({'pre', 'MLOC_sum'})"
0.3548387096774194,"frozenset({'pre', 'VG_avg'})"
