antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'PAR_avg'}),frozenset({'pre'}),0.43870967741935485,0.9741935483870968,0.4258064516129032,0.9705882352941175,0.9962991819244252,-0.001581685744016681,0.8774193548387046
frozenset({'NBD_sum'}),frozenset({'pre'}),0.36129032258064514,0.9741935483870968,0.36129032258064514,1.0,1.0264900662251655,0.009323621227887602,inf
frozenset({'VG_max'}),frozenset({'pre'}),0.43870967741935485,0.9741935483870968,0.432258064516129,0.9852941176470588,1.0113946240747953,0.004869927159209142,1.7548387096774092
frozenset({'NOM_max'}),frozenset({'pre'}),0.3741935483870968,0.9741935483870968,0.36129032258064514,0.9655172413793103,0.9910938570449873,-0.003246618106139465,0.7483870967741908
frozenset({'NSF_avg'}),frozenset({'pre'}),0.32903225806451614,0.9741935483870968,0.3225806451612903,0.9803921568627451,1.006362810024672,0.002039542143600359,1.3161290322580594
frozenset({'NOF_avg'}),frozenset({'pre'}),0.33548387096774196,0.9741935483870968,0.32903225806451614,0.9807692307692307,1.0067498726439124,0.0022060353798126764,1.3419354838709625
frozenset({'FOUT_sum'}),frozenset({'pre'}),0.34838709677419355,0.9741935483870968,0.33548387096774196,0.962962962962963,0.9884719156242335,-0.0039125910509885675,0.696774193548387
frozenset({'VG_sum'}),frozenset({'pre'}),0.4774193548387097,0.9741935483870968,0.47096774193548385,0.9864864864864864,1.0126185788437443,0.005868886576482768,1.9096774193548236
frozenset({'NSF_max'}),frozenset({'pre'}),0.432258064516129,0.9741935483870968,0.432258064516129,1.0,1.0264900662251655,0.011155046826222648,inf
frozenset({'FOUT_max'}),frozenset({'pre'}),0.45161290322580644,0.9741935483870968,0.432258064516129,0.9571428571428572,0.9824976348155156,-0.007700312174817925,0.6021505376344082
frozenset({'NBD_avg'}),frozenset({'pre'}),0.36774193548387096,0.9741935483870968,0.3548387096774194,0.9649122807017545,0.9904728709190195,-0.0034131113423517268,0.735483870967743
frozenset({'ACD'}),frozenset({'pre'}),0.43870967741935485,0.9741935483870968,0.43870967741935485,1.0,1.0264900662251655,0.011321540062434965,inf
frozenset({'ACD'}),frozenset({'MLOC_sum'}),0.43870967741935485,0.567741935483871,0.3225806451612903,0.7352941176470588,1.2951203208556148,0.07350676378772111,1.6329749103942648
frozenset({'ACD'}),frozenset({'VG_avg'}),0.43870967741935485,0.47096774193548385,0.3161290322580645,0.7205882352941175,1.530016116035455,0.10951092611862642,1.8933786078098465
frozenset({'VG_avg'}),frozenset({'ACD'}),0.47096774193548385,0.43870967741935485,0.3161290322580645,0.6712328767123288,1.5300161160354553,0.10951092611862642,1.707258064516129
frozenset({'MLOC_avg'}),frozenset({'pre'}),0.4064516129032258,0.9741935483870968,0.4,0.9841269841269842,1.0101965731104805,0.004037460978147778,1.6258064516129063
frozenset({'TLOC'}),frozenset({'pre'}),0.5870967741935483,0.9741935483870968,0.567741935483871,0.9670329670329672,0.9926497343715888,-0.0042039542143600395,0.7827956989247326
frozenset({'TLOC'}),frozenset({'MLOC_sum'}),0.5870967741935483,0.567741935483871,0.4,0.6813186813186815,1.2000499500499502,0.06668054110301774,1.3563959955506124
frozenset({'MLOC_sum'}),frozenset({'TLOC'}),0.567741935483871,0.5870967741935483,0.4,0.7045454545454546,1.2000499500499502,0.06668054110301774,1.3975186104218367
frozenset({'PAR_max'}),frozenset({'pre'}),0.3935483870967742,0.9741935483870968,0.3870967741935484,0.9836065573770492,1.0096623602214743,0.003704474505723143,1.5741935483870924
frozenset({'MLOC_max'}),frozenset({'pre'}),0.45161290322580644,0.9741935483870968,0.44516129032258067,0.9857142857142858,1.011825922421949,0.005202913631633721,1.806451612903229
frozenset({'NBD_max'}),frozenset({'pre'}),0.4645161290322581,0.9741935483870968,0.45806451612903226,0.986111111111111,1.012233259749816,0.0055359001040582445,1.8580645161290208
