support,itemsets
0.6580645161290323,frozenset({'PAR_avg'})
0.5096774193548387,frozenset({'NBD_sum'})
0.432258064516129,frozenset({'VG_max'})
0.47096774193548385,frozenset({'NOM_max'})
0.36774193548387096,frozenset({'NSF_avg'})
0.6258064516129033,frozenset({'NOM_avg'})
0.5032258064516129,frozenset({'NOF_sum'})
0.49032258064516127,frozenset({'NOF_avg'})
0.6193548387096774,frozenset({'FOUT_avg'})
0.4645161290322581,frozenset({'FOUT_sum'})
0.47096774193548385,frozenset({'VG_sum'})
0.4,frozenset({'NSM_sum'})
0.36774193548387096,frozenset({'NSM_avg'})
0.4258064516129032,frozenset({'NSF_max'})
0.45161290322580644,frozenset({'FOUT_max'})
0.5161290322580645,frozenset({'NBD_avg'})
0.4258064516129032,frozenset({'ACD'})
0.44516129032258067,frozenset({'NSM_max'})
0.5483870967741935,frozenset({'MLOC_avg'})
0.6709677419354839,frozenset({'TLOC'})
0.3741935483870968,frozenset({'PAR_sum'})
0.7677419354838709,frozenset({'PAR_max'})
0.45161290322580644,frozenset({'NOF_max'})
0.4774193548387097,frozenset({'MLOC_max'})
0.6,frozenset({'NBD_max'})
0.9548387096774194,frozenset({'pre'})
0.4774193548387097,frozenset({'NOT'})
0.47096774193548385,frozenset({'MLOC_sum'})
0.5290322580645161,frozenset({'NSF_sum'})
0.47096774193548385,frozenset({'VG_avg'})
0.4774193548387097,frozenset({'NOM_sum'})
0.5032258064516129,frozenset({'NOI'})
0.3419354838709677,"frozenset({'PAR_avg', 'NBD_sum'})"
0.3161290322580645,"frozenset({'PAR_avg', 'VG_max'})"
0.36129032258064514,"frozenset({'PAR_avg', 'NOM_max'})"
0.3032258064516129,"frozenset({'PAR_avg', 'NSF_avg'})"
0.4838709677419355,"frozenset({'PAR_avg', 'NOM_avg'})"
0.3870967741935484,"frozenset({'PAR_avg', 'NOF_sum'})"
0.36129032258064514,"frozenset({'PAR_avg', 'NOF_avg'})"
